Flight level,Flight distance,Contrail warming,Warming per flight distance
FL200,0.052206076,0.0,0.0
FL210,0.1229294,0.0,0.0
FL220,0.138418512,0.00120246132277248,0.008687142387229825
FL230,0.14071544,0.01312236526108672,0.09325462267031052
FL240,0.163869536,0.035395046677151744,0.2159952822295887
FL250,0.174716432,0.08159679371175527,0.46702415323909124
FL260,0.160851616,0.16993783712946586,1.056488217870723
FL270,0.155126032,0.2684047899335066,1.730236933627662
FL280,0.169226352,0.5479914756825416,3.238215970539515
FL290,0.188250208,1.1990472543426314,6.369433888448248
FL300,0.204943216,2.1241045948196455,10.364356704637862
FL310,0.265060576,3.621967498632495,13.664678290869237
FL320,0.33671536,8.473353923862724,25.164738323380092
FL330,0.476066432,14.442983531837653,30.338168291264132
FL340,0.718595136,39.8496922844623,55.45499863286342
FL350,1.135150208,39.3434243544761,34.65922313822639
FL360,1.638823552,57.62347366932178,35.16148739685784
FL370,1.809719936,51.33928972755874,28.36863798993854
FL380,1.917486464,36.569204784992614,19.071427867452535
FL390,1.442388352,25.60710244336822,17.753264859537783
FL400,0.873926336,7.968182756725228,9.117682381785126
FL410,0.804200064,3.793507255484154,4.717118818190189
FL420,0.01186863,0.04386035205564007,3.6954856673129135
FL430,0.009119957,0.019649273515737087,2.154535763242863
FL440,0.070653664,0.1093865807366062,1.5482081826160665
FL450,0.000730455625,7.2187654438912e-05,0.09882551652458287
FL460,0.02823727,0.01666178553269453,0.5900636121230746
FL470,0.00043296415625,-6.442292224e-09,-1.4879504760389735e-05
FL480,0.0027953205,-1.45793073152e-07,-5.215612061371854e-05
FL490,0.00013388396875,-4.0865660928e-08,-0.0003052319206663793
