Region,Hour of year,Airspace 'business',Cumulative contrail warming
European Airspace,0.0,100.0,0.018
European Airspace,1.1112,87.0756,-0.0093
European Airspace,2.2225,84.0325,0.0097
European Airspace,3.3337,82.3852,0.0691
European Airspace,4.445,80.875,0.1977
European Airspace,5.5562,79.8437,0.361
European Airspace,6.6674,78.7414,0.5949
European Airspace,7.7787,77.8165,0.893
European Airspace,8.8899,76.8765,1.1938
European Airspace,10.0012,76.0897,1.6409
European Airspace,11.1124,75.1876,2.3518
European Airspace,12.2236,74.2986,2.9472
European Airspace,13.3349,73.5709,3.8086
European Airspace,14.4461,72.8445,4.3672
European Airspace,15.5574,72.0445,5.0074
European Airspace,16.6686,71.2432,6.0572
European Airspace,17.7798,70.441,7.0295
European Airspace,18.8911,69.6147,7.8298
European Airspace,20.0023,68.9908,8.9081
European Airspace,21.1136,68.3769,10.2306
European Airspace,22.2248,67.6549,11.2108
European Airspace,23.336,66.9196,12.6769
European Airspace,24.4473,66.3227,14.1464
European Airspace,25.5585,65.7845,15.5509
European Airspace,26.6698,65.2032,16.8083
European Airspace,27.781,64.626,18.385
European Airspace,28.8922,64.012,19.9493
European Airspace,30.0035,63.3413,21.2419
European Airspace,31.1147,62.7945,23.0401
European Airspace,32.226,62.1,25.0402
European Airspace,33.3372,61.6423,26.8659
European Airspace,34.4484,61.0556,28.4401
European Airspace,35.5597,60.4514,29.9745
European Airspace,36.6709,59.8392,31.5605
European Airspace,37.7822,59.2898,33.4585
European Airspace,38.8934,58.7235,35.3219
European Airspace,40.0046,58.2393,36.5901
European Airspace,41.1159,57.6685,38.0904
European Airspace,42.2271,57.1078,40.1333
European Airspace,43.3383,56.4905,41.2185
European Airspace,44.4496,55.9377,42.6358
European Airspace,45.5608,55.4468,44.3024
European Airspace,46.6721,54.9279,45.9589
European Airspace,47.7833,54.3492,47.8841
European Airspace,48.8945,53.7614,49.9383
European Airspace,50.0058,53.1483,51.4054
European Airspace,51.117,52.576,52.5534
European Airspace,52.2283,51.8224,53.9935
European Airspace,53.3395,51.0219,55.6405
European Airspace,54.4507,50.1457,57.647
European Airspace,55.562,49.2925,59.5266
European Airspace,56.6732,48.5001,61.2577
European Airspace,57.7845,47.4538,62.9283
European Airspace,58.8957,46.2251,64.2282
European Airspace,60.0069,45.0397,66.0687
European Airspace,61.1182,43.9866,67.9811
European Airspace,62.2294,42.8974,69.7462
European Airspace,63.3407,41.5844,71.3276
European Airspace,64.4519,40.4247,72.6384
European Airspace,65.5631,39.1456,74.0052
European Airspace,66.6744,38.1224,75.2429
European Airspace,67.7856,36.8104,76.3536
European Airspace,68.8969,35.3686,77.5692
European Airspace,70.0081,33.8082,78.6342
European Airspace,71.1193,32.6908,79.672
European Airspace,72.2306,31.0598,80.6194
European Airspace,73.3418,29.9072,81.4767
European Airspace,74.4531,28.7528,82.3043
European Airspace,75.5643,27.682,83.0014
European Airspace,76.6755,26.7774,83.7221
European Airspace,77.7868,26.1235,84.5038
European Airspace,78.898,25.3802,85.2194
European Airspace,80.0093,24.8301,86.0886
European Airspace,81.1205,24.2057,86.8524
European Airspace,82.2317,23.5374,87.574
European Airspace,83.343,22.8655,88.2286
European Airspace,84.4542,22.2782,88.9622
European Airspace,85.5655,21.7101,89.7798
European Airspace,86.6767,21.1508,90.5414
European Airspace,87.7879,20.5497,91.2691
European Airspace,88.8992,19.9587,91.9346
European Airspace,90.0104,19.2621,92.6666
European Airspace,91.1217,18.5928,93.5115
European Airspace,92.2329,17.7942,94.3529
European Airspace,93.3441,17.1908,95.2459
European Airspace,94.4554,16.6466,96.089
European Airspace,95.5666,16.0327,96.8524
European Airspace,96.6779,15.5048,97.6225
European Airspace,97.7891,14.9795,98.4502
European Airspace,98.9003,14.3407,99.2706
North Atlantic,0.0,100.0,0.0001
North Atlantic,1.1112,78.7333,0.5087
North Atlantic,2.2225,71.2631,1.2466
North Atlantic,3.3337,66.1852,2.6743
North Atlantic,4.445,63.3952,4.0613
North Atlantic,5.5562,61.2917,5.064
North Atlantic,6.6674,59.2607,5.8418
North Atlantic,7.7787,57.6367,6.5511
North Atlantic,8.8899,56.0687,7.2168
North Atlantic,10.0012,54.7745,7.8945
North Atlantic,11.1124,53.6077,8.685
North Atlantic,12.2236,52.4661,9.6515
North Atlantic,13.3349,51.6074,10.9852
North Atlantic,14.4461,50.8429,11.8942
North Atlantic,15.5574,50.0115,12.8168
North Atlantic,16.6686,49.3732,13.9228
North Atlantic,17.7798,48.6594,15.1981
North Atlantic,18.8911,47.9823,16.4412
North Atlantic,20.0023,47.3201,17.751
North Atlantic,21.1136,46.6577,18.7987
North Atlantic,22.2248,46.1357,19.9398
North Atlantic,23.336,45.5538,21.2483
North Atlantic,24.4473,44.9314,22.838
North Atlantic,25.5585,44.4103,24.2005
North Atlantic,26.6698,43.8884,25.4292
North Atlantic,27.781,43.4562,26.9696
North Atlantic,28.8922,42.9396,28.2959
North Atlantic,30.0035,42.4542,29.8665
North Atlantic,31.1147,42.134,31.1686
North Atlantic,32.226,41.6727,32.4972
North Atlantic,33.3372,41.2918,33.6652
North Atlantic,34.4484,40.9434,34.968
North Atlantic,35.5597,40.5664,36.1306
North Atlantic,36.6709,40.179,37.5844
North Atlantic,37.7822,39.7269,39.0208
North Atlantic,38.8934,39.3172,40.732
North Atlantic,40.0046,38.9312,42.0109
North Atlantic,41.1159,38.5586,43.2512
North Atlantic,42.2271,38.1744,44.8246
North Atlantic,43.3383,37.7815,46.0264
North Atlantic,44.4496,37.4194,47.56
North Atlantic,45.5608,37.0933,48.7773
North Atlantic,46.6721,36.7401,49.9358
North Atlantic,47.7833,36.3914,51.3537
North Atlantic,48.8945,36.0914,52.5451
North Atlantic,50.0058,35.7565,53.582
North Atlantic,51.117,35.4009,54.8056
North Atlantic,52.2283,35.0992,55.9838
North Atlantic,53.3395,34.767,57.0315
North Atlantic,54.4507,34.3393,58.1045
North Atlantic,55.562,33.9899,59.1545
North Atlantic,56.6732,33.6634,60.1603
North Atlantic,57.7845,33.2641,61.5584
North Atlantic,58.8957,32.9186,62.6089
North Atlantic,60.0069,32.5782,63.5701
North Atlantic,61.1182,32.2073,64.5618
North Atlantic,62.2294,31.8441,65.5419
North Atlantic,63.3407,31.5265,66.6529
North Atlantic,64.4519,31.1574,67.8272
North Atlantic,65.5631,30.7993,69.1075
North Atlantic,66.6744,30.4226,70.1958
North Atlantic,67.7856,30.0479,71.0759
North Atlantic,68.8969,29.7315,71.9861
North Atlantic,70.0081,29.3501,72.9007
North Atlantic,71.1193,28.931,74.069
North Atlantic,72.2306,28.5158,74.8117
North Atlantic,73.3418,28.0746,75.6265
North Atlantic,74.4531,27.7105,76.5629
North Atlantic,75.5643,27.3463,77.3643
North Atlantic,76.6755,26.981,78.4451
North Atlantic,77.7868,26.542,79.3699
North Atlantic,78.898,26.0929,80.372
North Atlantic,80.0093,25.6639,81.3097
North Atlantic,81.1205,25.2434,82.3569
North Atlantic,82.2317,24.82,83.4013
North Atlantic,83.343,24.4391,84.4357
North Atlantic,84.4542,24.0053,85.3742
North Atlantic,85.5655,23.5882,86.5213
North Atlantic,86.6767,23.1195,87.416
North Atlantic,87.7879,22.5756,88.3299
North Atlantic,88.8992,22.1257,89.5144
North Atlantic,90.0104,21.5061,90.5059
North Atlantic,91.1217,20.8578,91.6372
North Atlantic,92.2329,20.2291,92.928
North Atlantic,93.3441,19.4443,94.0894
North Atlantic,94.4554,18.5358,95.1363
North Atlantic,95.5666,17.5798,96.339
North Atlantic,96.6779,16.6812,97.3696
North Atlantic,97.7891,15.6485,98.3838
North Atlantic,98.9003,14.3634,99.299
Continental Europe,0.0,100.0,0.0178
Continental Europe,1.1112,86.497,-0.2737
Continental Europe,2.2225,84.1705,-0.4272
Continental Europe,3.3337,82.7281,-0.4192
Continental Europe,4.445,81.4276,-0.3969
Continental Europe,5.5562,80.4034,-0.2835
Continental Europe,6.6674,79.4683,-0.0881
Continental Europe,7.7787,78.5037,0.4018
Continental Europe,8.8899,77.5728,0.7547
Continental Europe,10.0012,77.0031,1.3698
Continental Europe,11.1124,76.234,1.8848
Continental Europe,12.2236,75.5247,2.7501
Continental Europe,13.3349,74.7399,3.4237
Continental Europe,14.4461,73.9551,4.3004
Continental Europe,15.5574,73.2438,4.855
Continental Europe,16.6686,72.5647,5.7128
Continental Europe,17.7798,71.8126,6.6291
Continental Europe,18.8911,70.996,7.7499
Continental Europe,20.0023,70.3786,8.7465
Continental Europe,21.1136,69.7803,9.5157
Continental Europe,22.2248,69.0674,10.3475
Continental Europe,23.336,68.4528,11.0417
Continental Europe,24.4473,67.6976,11.8452
Continental Europe,25.5585,67.0987,12.9886
Continental Europe,26.6698,66.4912,13.9323
Continental Europe,27.781,65.8197,15.0823
Continental Europe,28.8922,65.1656,16.6851
Continental Europe,30.0035,64.4754,18.2586
Continental Europe,31.1147,63.7906,19.9283
Continental Europe,32.226,63.2876,21.8185
Continental Europe,33.3372,62.7643,23.6385
Continental Europe,34.4484,62.1439,25.4117
Continental Europe,35.5597,61.5088,27.1496
Continental Europe,36.6709,60.9625,28.8685
Continental Europe,37.7822,60.4365,30.4441
Continental Europe,38.8934,59.8416,31.5192
Continental Europe,40.0046,59.1112,33.1514
Continental Europe,41.1159,58.596,34.923
Continental Europe,42.2271,58.0927,36.483
Continental Europe,43.3383,57.6148,38.7756
Continental Europe,44.4496,57.0547,40.8463
Continental Europe,45.5608,56.4956,42.7049
Continental Europe,46.6721,55.9109,44.6787
Continental Europe,47.7833,55.2438,46.3778
Continental Europe,48.8945,54.5503,48.1965
Continental Europe,50.0058,54.0762,50.4269
Continental Europe,51.117,53.4538,52.3775
Continental Europe,52.2283,52.751,54.8128
Continental Europe,53.3395,52.0902,56.8896
Continental Europe,54.4507,51.3524,59.3475
Continental Europe,55.562,50.4615,60.6279
Continental Europe,56.6732,49.6444,62.7505
Continental Europe,57.7845,48.6105,64.5467
Continental Europe,58.8957,47.6557,66.627
Continental Europe,60.0069,46.4964,68.8331
Continental Europe,61.1182,45.2404,71.112
Continental Europe,62.2294,43.817,73.1179
Continental Europe,63.3407,42.3447,74.7728
Continental Europe,64.4519,41.024,76.9158
Continental Europe,65.5631,39.2626,78.6968
Continental Europe,66.6744,37.0788,80.4241
Continental Europe,67.7856,34.82,81.9892
Continental Europe,68.8969,32.4575,83.292
Continental Europe,70.0081,30.8883,83.9601
Continental Europe,71.1193,28.2328,84.7362
Continental Europe,72.2306,25.9901,85.4626
Continental Europe,73.3418,23.5185,86.893
Continental Europe,74.4531,21.7866,87.9247
Continental Europe,75.5643,20.7419,88.7577
Continental Europe,76.6755,19.5036,89.4971
Continental Europe,77.7868,18.1269,90.2556
Continental Europe,78.898,16.9008,90.8943
Continental Europe,80.0093,15.6337,91.5381
Continental Europe,81.1205,14.7288,92.1759
Continental Europe,82.2317,13.7021,92.7874
Continental Europe,83.343,12.8778,93.2743
Continental Europe,84.4542,12.048,93.7945
Continental Europe,85.5655,11.2606,94.3841
Continental Europe,86.6767,10.7122,95.0648
Continental Europe,87.7879,10.1457,95.6103
Continental Europe,88.8992,9.5806,96.1554
Continental Europe,90.0104,9.0576,96.6829
Continental Europe,91.1217,8.4105,97.0971
Continental Europe,92.2329,7.7343,97.4893
Continental Europe,93.3441,6.6553,97.898
Continental Europe,94.4554,5.8453,98.3329
Continental Europe,95.5666,5.3872,98.6941
Continental Europe,96.6779,4.9777,99.0337
Continental Europe,97.7891,4.4776,99.4037
Continental Europe,98.9003,3.6915,99.756
Global,0.0,100.0,0.0043
Global,1.096,91.1016,0.8046
Global,2.192,88.2737,1.5338
Global,3.288,86.4182,2.3305
Global,4.3841,84.7696,3.1783
Global,5.4801,83.6357,4.0221
Global,6.5761,82.5464,4.9553
Global,7.6721,81.5747,5.927
Global,8.7681,80.777,6.7676
Global,9.8641,79.9834,7.8914
Global,10.9602,79.2413,9.0485
Global,12.0562,78.571,10.2288
Global,13.1522,78.066,11.3044
Global,14.2482,77.4794,12.6401
Global,15.3442,76.9959,13.9008
Global,16.4402,76.478,15.2906
Global,17.5362,76.0834,16.6281
Global,18.6323,75.5873,17.9378
Global,19.7283,75.1636,19.2572
Global,20.8243,74.738,20.7623
Global,21.9203,74.3836,22.1843
Global,23.0163,73.8796,23.6228
Global,24.1123,73.4404,25.1029
Global,25.2084,73.073,26.4337
Global,26.3044,72.7526,27.8245
Global,27.4004,72.4036,29.392
Global,28.4964,72.0538,30.815
Global,29.5924,71.6811,32.0942
Global,30.6884,71.3196,33.4926
Global,31.7845,70.9669,34.9882
Global,32.8805,70.6529,36.4257
Global,33.9765,70.3862,37.7157
Global,35.0725,70.0538,39.0156
Global,36.1685,69.6913,40.3186
Global,37.2645,69.3815,41.648
Global,38.3605,69.0596,42.9232
Global,39.4566,68.7749,44.1962
Global,40.5526,68.4889,45.5027
Global,41.6486,68.1835,46.8516
Global,42.7446,67.9388,48.1214
Global,43.8406,67.6483,49.3023
Global,44.9366,67.3705,50.5681
Global,46.0327,67.0925,51.6934
Global,47.1287,66.836,52.8046
Global,48.2247,66.5731,53.8823
Global,49.3207,66.297,54.9939
Global,50.4167,66.0818,56.1964
Global,51.5127,65.8302,57.2709
Global,52.6087,65.588,58.472
Global,53.7048,65.3259,59.6925
Global,54.8008,65.0841,60.7606
Global,55.8968,64.8611,61.9717
Global,56.9928,64.5654,63.0763
Global,58.0888,64.3395,64.1529
Global,59.1848,64.1385,65.2529
Global,60.2809,63.9087,66.2861
Global,61.3769,63.6942,67.3115
Global,62.4729,63.4518,68.358
Global,63.5689,63.2673,69.3305
Global,64.6649,63.0561,70.4008
Global,65.7609,62.815,71.4586
Global,66.8569,62.6103,72.5128
Global,67.953,62.3996,73.4991
Global,69.049,62.1689,74.5496
Global,70.145,61.9576,75.4901
Global,71.241,61.7293,76.596
Global,72.337,61.4901,77.7025
Global,73.433,61.2484,78.8156
Global,74.5291,61.0198,79.843
Global,75.6251,60.7646,80.8458
Global,76.7211,60.5068,81.8041
Global,77.8171,60.1945,82.7801
Global,78.9131,59.9275,83.6477
Global,80.0091,59.6906,84.6332
Global,81.1051,59.4123,85.5515
Global,82.2012,59.1651,86.4882
Global,83.2972,58.9254,87.3979
Global,84.3932,58.7147,88.316
Global,85.4892,58.467,89.2626
Global,86.5852,58.2508,90.032
Global,87.6812,58.0214,90.9348
Global,88.7773,57.7847,91.7502
Global,89.8733,57.4892,92.5889
Global,90.9693,57.2042,93.4058
Global,92.0653,56.9064,94.0761
Global,93.1613,56.5791,94.8075
Global,94.2573,56.217,95.5769
Global,95.3534,55.7881,96.4147
Global,96.4494,55.3008,97.1876
Global,97.5454,54.6152,98.126
Global,98.6414,53.522,98.9701
Global,99.7374,48.4102,99.7939
USA,0.0,100.0,0.0052
USA,1.1112,87.225,1.3384
USA,2.2225,84.8466,2.335
USA,3.3337,83.3588,3.0975
USA,4.445,82.4683,3.7442
USA,5.5562,81.6991,4.4945
USA,6.6674,80.9496,5.1998
USA,7.7787,80.2978,6.1422
USA,8.8899,79.5919,6.7705
USA,10.0012,79.1118,7.1976
USA,11.1124,78.5131,7.6624
USA,12.2236,77.9384,8.1344
USA,13.3349,77.3175,8.795
USA,14.4461,76.8382,9.6262
USA,15.5574,76.242,10.2997
USA,16.6686,75.6797,10.8438
USA,17.7798,75.1709,11.6432
USA,18.8911,74.6777,12.5865
USA,20.0023,74.1009,13.1197
USA,21.1136,73.5818,13.5446
USA,22.2248,72.9904,14.0205
USA,23.336,72.4448,14.9364
USA,24.4473,71.9318,15.2365
USA,25.5585,71.371,15.8447
USA,26.6698,70.9272,17.0384
USA,27.781,70.415,18.3919
USA,28.8922,69.807,19.7703
USA,30.0035,69.2603,20.6645
USA,31.1147,68.683,22.2281
USA,32.226,68.0733,23.0906
USA,33.3372,67.4542,24.6625
USA,34.4484,66.8421,26.2176
USA,35.5597,66.1754,27.187
USA,36.6709,65.6439,28.5585
USA,37.7822,64.9365,30.1781
USA,38.8934,64.2709,31.7126
USA,40.0046,63.5745,33.41
USA,41.1159,62.9577,34.8141
USA,42.2271,62.2449,36.5309
USA,43.3383,61.6901,38.1838
USA,44.4496,60.8718,39.6865
USA,45.5608,60.0766,41.1042
USA,46.6721,59.3256,42.9356
USA,47.7833,58.4036,44.8922
USA,48.8945,57.5282,47.066
USA,50.0058,56.4563,49.3931
USA,51.117,55.3954,51.6138
USA,52.2283,54.1711,54.0796
USA,53.3395,53.2211,55.9168
USA,54.4507,52.2504,58.1075
USA,55.562,51.222,59.7242
USA,56.6732,50.2121,61.2882
USA,57.7845,49.0029,62.6071
USA,58.8957,47.8679,64.1529
USA,60.0069,46.5003,65.892
USA,61.1182,45.0571,67.8954
USA,62.2294,43.3786,69.7306
USA,63.3407,41.651,71.5738
USA,64.4519,39.4303,72.4476
USA,65.5631,37.4008,73.4876
USA,66.6744,35.6966,74.327
USA,67.7856,34.1171,75.0949
USA,68.8969,32.7378,76.0246
USA,70.0081,30.8083,77.2708
USA,71.1193,29.324,78.458
USA,72.2306,27.6235,79.5205
USA,73.3418,25.9549,80.4798
USA,74.4531,23.9209,81.2631
USA,75.5643,22.3566,81.9197
USA,76.6755,21.2519,82.5592
USA,77.7868,20.149,83.3343
USA,78.898,19.2447,84.0034
USA,80.0093,18.4172,84.7853
USA,81.1205,17.7238,85.5791
USA,82.2317,17.16,86.2528
USA,83.343,16.6213,87.2263
USA,84.4542,16.1795,88.0824
USA,85.5655,15.7393,89.0438
USA,86.6767,15.2887,89.9149
USA,87.7879,14.8944,90.7903
USA,88.8992,14.4606,91.5351
USA,90.0104,13.96,92.4175
USA,91.1217,13.5763,93.216
USA,92.2329,13.1608,94.1362
USA,93.3441,12.7895,95.0689
USA,94.4554,12.4386,95.8782
USA,95.5666,12.0289,96.7033
USA,96.6779,11.5111,97.659
USA,97.7891,10.9524,98.526
USA,98.9003,10.1542,99.3042
East Asia,0.0,100.0,0.0154
East Asia,1.1112,86.8304,-0.3427
East Asia,2.2225,85.1599,-0.5342
East Asia,3.3337,83.8311,-0.7471
East Asia,4.445,82.4775,-0.3413
East Asia,5.5562,81.2571,0.2439
East Asia,6.6674,80.2766,1.2295
East Asia,7.7787,79.5604,2.3692
East Asia,8.8899,79.004,4.2489
East Asia,10.0012,78.3292,5.9895
East Asia,11.1124,77.8418,6.8501
East Asia,12.2236,77.3778,8.5654
East Asia,13.3349,76.9002,10.933
East Asia,14.4461,76.288,12.3863
East Asia,15.5574,75.86,13.2402
East Asia,16.6686,75.378,14.631
East Asia,17.7798,74.9292,15.714
East Asia,18.8911,74.5105,17.1991
East Asia,20.0023,74.0244,18.1264
East Asia,21.1136,73.5876,19.1219
East Asia,22.2248,73.0979,20.1056
East Asia,23.336,72.6794,21.3621
East Asia,24.4473,72.2695,22.2491
East Asia,25.5585,71.8031,23.011
East Asia,26.6698,71.345,23.7461
East Asia,27.781,70.8352,25.3832
East Asia,28.8922,70.428,26.5524
East Asia,30.0035,69.8597,27.6762
East Asia,31.1147,69.355,28.6192
East Asia,32.226,68.8349,29.4669
East Asia,33.3372,68.2847,31.2437
East Asia,34.4484,67.7565,33.2007
East Asia,35.5597,67.1743,34.5325
East Asia,36.6709,66.5411,36.064
East Asia,37.7822,65.8727,38.4465
East Asia,38.8934,65.302,39.6763
East Asia,40.0046,64.6547,41.227
East Asia,41.1159,63.8686,43.7296
East Asia,42.2271,63.1253,45.5931
East Asia,43.3383,62.502,47.5336
East Asia,44.4496,61.591,49.0437
East Asia,45.5608,60.8263,50.195
East Asia,46.6721,60.0939,51.2778
East Asia,47.7833,59.2726,52.5201
East Asia,48.8945,58.5088,53.5208
East Asia,50.0058,57.5973,54.4864
East Asia,51.117,56.834,55.4824
East Asia,52.2283,56.0483,56.5544
East Asia,53.3395,55.2273,57.717
East Asia,54.4507,54.3052,59.0042
East Asia,55.562,53.1798,60.289
East Asia,56.6732,52.1643,61.7463
East Asia,57.7845,51.2653,63.7168
East Asia,58.8957,50.4086,65.1442
East Asia,60.0069,49.54,66.415
East Asia,61.1182,48.4476,67.8117
East Asia,62.2294,47.1949,69.1522
East Asia,63.3407,45.5932,70.57
East Asia,64.4519,43.8402,71.2833
East Asia,65.5631,42.4189,72.4685
East Asia,66.6744,41.2426,73.1543
East Asia,67.7856,40.1022,73.5447
East Asia,68.8969,38.9667,74.1139
East Asia,70.0081,37.6566,75.3551
East Asia,71.1193,36.3529,76.5877
East Asia,72.2306,35.1286,78.1925
East Asia,73.3418,34.0556,79.7997
East Asia,74.4531,33.0123,81.3457
East Asia,75.5643,32.3429,82.9359
East Asia,76.6755,31.5757,84.4183
East Asia,77.7868,30.9169,85.7709
East Asia,78.898,30.2804,87.4052
East Asia,80.0093,29.7498,89.083
East Asia,81.1205,29.1602,90.3577
East Asia,82.2317,28.5372,91.4638
East Asia,83.343,27.9222,92.7094
East Asia,84.4542,27.4771,93.6223
East Asia,85.5655,26.9745,94.5751
East Asia,86.6767,26.5996,95.3041
East Asia,87.7879,26.1364,96.1885
East Asia,88.8992,25.7265,96.8508
East Asia,90.0104,25.3323,97.2962
East Asia,91.1217,24.9435,97.8612
East Asia,92.2329,24.5325,98.3236
East Asia,93.3441,24.1475,98.7735
East Asia,94.4554,23.6519,99.1561
East Asia,95.5666,23.1766,99.5341
East Asia,96.6779,22.6264,99.7094
East Asia,97.7891,21.9367,99.9178
East Asia,98.9003,20.869,100.002
Southeast Asia,0.0,100.0,0.0014
Southeast Asia,1.1112,87.8029,0.9315
Southeast Asia,2.2225,86.0434,1.782
Southeast Asia,3.3337,84.7747,2.3603
Southeast Asia,4.445,83.8846,2.9382
Southeast Asia,5.5562,83.0332,3.2043
Southeast Asia,6.6674,82.4824,3.5214
Southeast Asia,7.7787,81.9979,3.7064
Southeast Asia,8.8899,81.5624,3.7998
Southeast Asia,10.0012,81.1591,3.9576
Southeast Asia,11.1124,80.7686,4.094
Southeast Asia,12.2236,80.383,4.4751
Southeast Asia,13.3349,80.0063,4.8868
Southeast Asia,14.4461,79.6648,5.1737
Southeast Asia,15.5574,79.3548,5.7941
Southeast Asia,16.6686,79.0679,6.2088
Southeast Asia,17.7798,78.744,6.7587
Southeast Asia,18.8911,78.4587,7.2639
Southeast Asia,20.0023,78.1917,7.6702
Southeast Asia,21.1136,77.9292,8.3484
Southeast Asia,22.2248,77.6839,8.9154
Southeast Asia,23.336,77.4207,9.6284
Southeast Asia,24.4473,77.1802,9.9923
Southeast Asia,25.5585,76.9451,10.5817
Southeast Asia,26.6698,76.6873,11.311
Southeast Asia,27.781,76.4033,12.1203
Southeast Asia,28.8922,76.1426,13.1867
Southeast Asia,30.0035,75.8793,14.0642
Southeast Asia,31.1147,75.5978,14.9269
Southeast Asia,32.226,75.3271,15.485
Southeast Asia,33.3372,75.0625,16.5397
Southeast Asia,34.4484,74.7873,17.6137
Southeast Asia,35.5597,74.5505,18.6445
Southeast Asia,36.6709,74.2609,19.4016
Southeast Asia,37.7822,73.9741,20.7726
Southeast Asia,38.8934,73.6741,22.1374
Southeast Asia,40.0046,73.3378,23.7023
Southeast Asia,41.1159,73.0005,24.9035
Southeast Asia,42.2271,72.7008,26.3354
Southeast Asia,43.3383,72.3717,27.806
Southeast Asia,44.4496,72.0102,29.2937
Southeast Asia,45.5608,71.5111,30.9446
Southeast Asia,46.6721,71.0282,32.5968
Southeast Asia,47.7833,70.5778,34.5829
Southeast Asia,48.8945,69.9836,36.9086
Southeast Asia,50.0058,69.3109,39.2061
Southeast Asia,51.117,68.6148,41.5187
Southeast Asia,52.2283,67.7746,43.5703
Southeast Asia,53.3395,66.799,45.7003
Southeast Asia,54.4507,65.8314,47.293
Southeast Asia,55.562,64.9173,48.6308
Southeast Asia,56.6732,64.1105,49.6851
Southeast Asia,57.7845,63.0712,50.1969
Southeast Asia,58.8957,62.159,51.5751
Southeast Asia,60.0069,61.1301,52.793
Southeast Asia,61.1182,59.6651,54.2581
Southeast Asia,62.2294,58.1601,56.0758
Southeast Asia,63.3407,57.0586,57.9295
Southeast Asia,64.4519,56.2002,59.3001
Southeast Asia,65.5631,55.4704,60.5773
Southeast Asia,66.6744,54.6901,61.9973
Southeast Asia,67.7856,54.0825,63.0868
Southeast Asia,68.8969,53.3665,64.4038
Southeast Asia,70.0081,52.8012,65.7835
Southeast Asia,71.1193,52.2463,67.3731
Southeast Asia,72.2306,51.5656,68.8521
Southeast Asia,73.3418,50.9409,70.5452
Southeast Asia,74.4531,50.4416,72.0162
Southeast Asia,75.5643,49.9447,73.7911
Southeast Asia,76.6755,49.4809,75.3471
Southeast Asia,77.7868,49.0345,76.9756
Southeast Asia,78.898,48.4263,78.386
Southeast Asia,80.0093,47.9901,79.8344
Southeast Asia,81.1205,47.5757,81.3902
Southeast Asia,82.2317,47.0871,82.7448
Southeast Asia,83.343,46.6578,84.2827
Southeast Asia,84.4542,46.1971,85.8148
Southeast Asia,85.5655,45.6094,87.3988
Southeast Asia,86.6767,44.9962,88.9608
Southeast Asia,87.7879,44.293,90.1848
Southeast Asia,88.8992,43.6065,91.5907
Southeast Asia,90.0104,42.8231,93.046
Southeast Asia,91.1217,41.606,94.744
Southeast Asia,92.2329,40.286,96.0328
Southeast Asia,93.3441,38.5358,97.0469
Southeast Asia,94.4554,37.4057,97.6325
Southeast Asia,95.5666,36.6147,98.1183
Southeast Asia,96.6779,35.893,98.622
Southeast Asia,97.7891,35.0429,99.1991
Southeast Asia,98.9003,33.7599,99.608
Latin America,0.0,100.0,0.0215
Latin America,1.1112,83.6621,0.7332
Latin America,2.2225,81.4939,1.5859
Latin America,3.3337,80.1498,2.3288
Latin America,4.445,79.0039,2.9853
Latin America,5.5562,77.8355,3.6204
Latin America,6.6674,77.0414,4.3087
Latin America,7.7787,76.3128,5.2735
Latin America,8.8899,75.564,6.2856
Latin America,10.0012,75.0635,7.1685
Latin America,11.1124,74.5021,8.2487
Latin America,12.2236,73.9735,9.6879
Latin America,13.3349,73.4575,10.9593
Latin America,14.4461,72.9998,12.2455
Latin America,15.5574,72.5216,13.5768
Latin America,16.6686,72.0863,14.6426
Latin America,17.7798,71.6685,15.8449
Latin America,18.8911,71.2926,16.787
Latin America,20.0023,70.9078,18.1555
Latin America,21.1136,70.6029,19.7362
Latin America,22.2248,70.2152,20.8377
Latin America,23.336,69.8856,22.0635
Latin America,24.4473,69.5651,23.0194
Latin America,25.5585,69.2639,24.3253
Latin America,26.6698,68.9626,25.4948
Latin America,27.781,68.699,26.5606
Latin America,28.8922,68.4558,27.6379
Latin America,30.0035,68.1797,29.039
Latin America,31.1147,67.9016,30.0863
Latin America,32.226,67.5982,31.2654
Latin America,33.3372,67.3695,32.5123
Latin America,34.4484,67.0745,33.55
Latin America,35.5597,66.8168,34.6526
Latin America,36.6709,66.5468,35.9158
Latin America,37.7822,66.3049,36.9159
Latin America,38.8934,66.0442,38.3558
Latin America,40.0046,65.7786,39.6311
Latin America,41.1159,65.5412,40.7143
Latin America,42.2271,65.2453,42.0382
Latin America,43.3383,65.0281,43.0239
Latin America,44.4496,64.7577,44.2085
Latin America,45.5608,64.5482,45.328
Latin America,46.6721,64.2879,46.3569
Latin America,47.7833,63.9916,47.4675
Latin America,48.8945,63.7163,48.6297
Latin America,50.0058,63.408,49.4896
Latin America,51.117,63.1397,50.7051
Latin America,52.2283,62.8352,51.7623
Latin America,53.3395,62.5761,52.8548
Latin America,54.4507,62.2543,54.0622
Latin America,55.562,61.9886,55.2361
Latin America,56.6732,61.708,56.3806
Latin America,57.7845,61.4359,57.3557
Latin America,58.8957,61.1544,58.1157
Latin America,60.0069,60.8616,59.2425
Latin America,61.1182,60.6198,60.5317
Latin America,62.2294,60.3267,61.6112
Latin America,63.3407,60.0574,62.5598
Latin America,64.4519,59.7554,63.4871
