Hour,Flight distance,Contrail warming,Warming per flight distance,Region
6,0.03716148,0.01040807,0.28007687,European Airspace
7,0.04614666,0.00356119,0.07717125,European Airspace
8,0.05078232,-0.00151171,-0.02976846,European Airspace
9,0.05426911,-0.00299356,-0.05516147,European Airspace
10,0.05784984,-0.00169592,-0.02931587,European Airspace
11,0.06070225,0.00317281,0.05226845,European Airspace
12,0.0626546,0.01401543,0.22369347,European Airspace
13,0.06146966,0.03096726,0.50378119,European Airspace
14,0.05998724,0.05003145,0.83403491,European Airspace
15,0.05893016,0.07060799,1.19816391,European Airspace
16,0.056901,0.0852472,1.49816694,European Airspace
17,0.055047,0.09645271,1.75218844,European Airspace
18,0.05291676,0.10545942,1.99293058,European Airspace
19,0.04793628,0.10198045,2.12741664,European Airspace
20,0.04403036,0.09287056,2.10923935,European Airspace
21,0.0399605,0.08225882,2.05850339,European Airspace
22,0.031162,0.06440087,2.0666472,European Airspace
23,0.02162512,0.04802506,2.22079938,European Airspace
0,0.01540067,0.03597795,2.33612889,European Airspace
1,0.01150366,0.02416101,2.10028875,European Airspace
2,0.01213021,0.02054045,1.69332941,European Airspace
3,0.01566574,0.0225846,1.44165527,European Airspace
4,0.01998418,0.02411486,1.2066973,European Airspace
5,0.02578316,0.01936303,0.75099509,European Airspace
6,0.01138915,0.02740734,2.40644382,North Atlantic
7,0.01076402,0.0168927,1.56936692,North Atlantic
8,0.00955507,0.00926287,0.96941883,North Atlantic
9,0.00810474,0.00474713,0.58572298,North Atlantic
10,0.00721044,0.0021573,0.29919058,North Atlantic
11,0.00804247,0.00130824,0.16266633,North Atlantic
12,0.00962907,0.00317458,0.32968718,North Atlantic
13,0.01123422,0.0062013,0.55200142,North Atlantic
14,0.01255397,0.00816891,0.65070291,North Atlantic
15,0.01329997,0.0110645,0.83191902,North Atlantic
16,0.01288713,0.01269032,0.98472869,North Atlantic
17,0.01173752,0.01509835,1.28633149,North Atlantic
18,0.01030426,0.01813588,1.76003819,North Atlantic
19,0.00869189,0.01893316,2.17825687,North Atlantic
20,0.00722864,0.01803411,2.49481238,North Atlantic
21,0.00612053,0.01730365,2.82715098,North Atlantic
22,0.00538736,0.01648519,3.05997237,North Atlantic
23,0.00505819,0.0176461,3.488621,North Atlantic
0,0.00539216,0.0208834,3.8729164,North Atlantic
1,0.00651298,0.02616015,4.01661691,North Atlantic
2,0.00813678,0.03188697,3.91886685,North Atlantic
3,0.00998847,0.03813087,3.81748884,North Atlantic
4,0.01151826,0.04065367,3.529497,North Atlantic
5,0.01205764,0.0365873,3.03436634,North Atlantic
6,0.02423953,0.00125562,0.05180066,Continental Europe
7,0.03224629,-0.00198251,-0.06148034,Continental Europe
8,0.03574295,-0.00461079,-0.12899865,Continental Europe
9,0.03796169,-0.00531383,-0.13997866,Continental Europe
10,0.04087158,-0.00394157,-0.09643789,Continental Europe
11,0.0435523,-0.00064632,-0.01484002,Continental Europe
12,0.04355569,0.00575468,0.13212231,Continental Europe
13,0.04152238,0.01413508,0.34042069,Continental Europe
14,0.03998128,0.0261077,0.65299816,Continental Europe
15,0.03959589,0.04144901,1.04680065,Continental Europe
16,0.03881024,0.053352,1.37468855,Continental Europe
17,0.03880174,0.06567242,1.69251229,Continental Europe
18,0.03753635,0.07393433,1.96967291,Continental Europe
19,0.03413457,0.07011533,2.05408588,Continental Europe
20,0.03228656,0.0669431,2.07340419,Continental Europe
21,0.03038872,0.06133941,2.01849251,Continental Europe
22,0.0227157,0.04679739,2.06013426,Continental Europe
23,0.01379667,0.03183336,2.30732277,Continental Europe
0,0.00768157,0.02015465,2.62376679,Continental Europe
1,0.00417625,0.01033749,2.47530471,Continental Europe
2,0.00343399,0.00720658,2.09860421,Continental Europe
3,0.00513621,0.00781657,1.52185485,Continental Europe
4,0.00807244,0.00800489,0.99163152,Continental Europe
5,0.01376573,0.00534446,0.38824394,Continental Europe
6,0.1694242,0.08539195,0.50401273,Global
7,0.17147522,0.06884145,0.40146585,Global
8,0.17195152,0.0666,0.38731849,Global
9,0.17277014,0.07519499,0.43523137,Global
10,0.17634311,0.08410421,0.47693501,Global
11,0.18087462,0.09134976,0.50504468,Global
12,0.19128697,0.09964597,0.52092399,Global
13,0.20547342,0.11509334,0.56013735,Global
14,0.22030312,0.13380275,0.60735748,Global
15,0.22985494,0.15428251,0.67121682,Global
16,0.2314728,0.16796826,0.72565007,Global
17,0.22712752,0.17408465,0.76646214,Global
18,0.22454952,0.18316897,0.81571749,Global
19,0.21887638,0.18795703,0.85873601,Global
20,0.21250641,0.18742024,0.88195093,Global
21,0.20617095,0.18251042,0.88523831,Global
22,0.19299331,0.17948522,0.93000742,Global
23,0.18188174,0.17798546,0.97857796,Global
0,0.18342777,0.1768605,0.964197,Global
1,0.18913914,0.16973882,0.89742832,Global
2,0.19216466,0.16410305,0.85397102,Global
3,0.18924916,0.15965761,0.84363707,Global
4,0.18249965,0.14640912,0.8022433,Global
5,0.17151174,0.1167137,0.68049981,Global
6,0.02214595,0.0317066,1.43171114,USA
7,0.01518131,0.02318452,1.52717482,USA
8,0.01334513,0.02155417,1.61513387,USA
9,0.01433996,0.02062258,1.4381201,USA
10,0.01518512,0.01605656,1.05738763,USA
11,0.01852255,0.00912528,0.49265805,USA
12,0.02799746,0.00164797,0.05886148,USA
13,0.04153955,-0.00399844,-0.09625616,USA
14,0.05453451,-0.00907346,-0.16638021,USA
15,0.06509853,-0.01092487,-0.16782047,USA
16,0.07215608,-0.01045444,-0.14488641,USA
17,0.07622625,-0.00908489,-0.11918326,USA
18,0.07912998,-0.00746084,-0.09428587,USA
19,0.07825811,-0.0029619,-0.03784781,USA
20,0.076287,0.00440167,0.05769883,USA
21,0.07675147,0.01584279,0.20641673,USA
22,0.07669222,0.03421885,0.44618419,USA
23,0.07532172,0.05512502,0.73186079,USA
0,0.07103861,0.07226925,1.01732355,USA
1,0.06652443,0.080045,1.20324217,USA
2,0.06098349,0.08125627,1.33243068,USA
3,0.05476589,0.07750458,1.41519792,USA
4,0.04767356,0.06736001,1.41294256,USA
5,0.03491343,0.04976761,1.42545732,USA
6,0.03591736,-0.00265422,-0.07389811,East Asia
7,0.0359338,0.00064189,0.01786315,East Asia
8,0.03418818,0.00549256,0.16065664,East Asia
9,0.03341215,0.01032994,0.3091672,East Asia
10,0.03381978,0.012937,0.38252746,East Asia
11,0.03307722,0.01398943,0.4229325,East Asia
12,0.03206011,0.01421762,0.44346767,East Asia
13,0.03107746,0.01381017,0.44437891,East Asia
14,0.02938774,0.0130732,0.44485224,East Asia
15,0.02666125,0.01132545,0.42479068,East Asia
16,0.02209194,0.00877064,0.39700644,East Asia
17,0.01699319,0.00702396,0.41333953,East Asia
18,0.01438287,0.00698369,0.48555621,East Asia
19,0.01402573,0.00737722,0.52597786,East Asia
20,0.01409298,0.00569788,0.40430659,East Asia
21,0.01321747,0.00235998,0.17854989,East Asia
22,0.01108415,-9.57e-06,-0.00086319,East Asia
23,0.01157906,-0.00081023,-0.06997385,East Asia
0,0.01922488,-0.00223431,-0.11621952,East Asia
1,0.02775094,-0.00410996,-0.14810157,East Asia
2,0.03251155,-0.00552225,-0.169855,East Asia
3,0.03415241,-0.00517584,-0.15155117,East Asia
4,0.03481761,-0.00485279,-0.13937758,East Asia
5,0.03528076,-0.00410754,-0.11642422,East Asia
6,0.01528235,-0.00455401,-0.29799164,Southeast Asia
7,0.01562129,-0.00344152,-0.22030978,Southeast Asia
8,0.01611617,-0.00029735,-0.01845022,Southeast Asia
9,0.01532773,0.00533625,0.34814372,Southeast Asia
10,0.01506929,0.01065428,0.70701922,Southeast Asia
11,0.01451355,0.01507394,1.03861141,Southeast Asia
12,0.01434733,0.01726689,1.20349179,Southeast Asia
13,0.0148069,0.01953937,1.3196124,Southeast Asia
14,0.01488762,0.02175856,1.46152073,Southeast Asia
15,0.01365853,0.0202003,1.47895152,Southeast Asia
16,0.01205675,0.01637789,1.35839968,Southeast Asia
17,0.01034116,0.01294493,1.25178694,Southeast Asia
18,0.00994053,0.01437134,1.44573198,Southeast Asia
19,0.00996722,0.01796993,1.80290182,Southeast Asia
20,0.00942063,0.01792976,1.90324484,Southeast Asia
21,0.00871972,0.01261635,1.44687643,Southeast Asia
22,0.00736017,0.00616476,0.83758437,Southeast Asia
23,0.00706641,0.00108208,0.15312967,Southeast Asia
0,0.00921448,-0.00214417,-0.23269525,Southeast Asia
1,0.01056065,-0.00340102,-0.32204632,Southeast Asia
2,0.01253344,-0.00370896,-0.29592549,Southeast Asia
3,0.0147964,-0.00428374,-0.289512,Southeast Asia
4,0.01548135,-0.00452566,-0.29232963,Southeast Asia
5,0.0151703,-0.00452477,-0.29826517,Southeast Asia
6,0.00602182,0.00770621,1.27971525,Latin America
7,0.00645231,0.00788835,1.22256184,Latin America
8,0.00659816,0.00675199,1.02331489,Latin America
9,0.00619729,0.00440818,0.71130673,Latin America
10,0.0062842,0.00189213,0.30109376,Latin America
11,0.00645349,0.00018375,0.02847246,Latin America
12,0.00618429,-0.00045102,-0.07293048,Latin America
13,0.0063618,-0.00041062,-0.06454531,Latin America
14,0.00711885,-0.00051224,-0.07195565,Latin America
15,0.00714312,-0.00061061,-0.08548239,Latin America
16,0.00731773,-0.00059243,-0.08095824,Latin America
17,0.00708008,-0.00061266,-0.08653342,Latin America
18,0.00800148,-0.00067035,-0.08377879,Latin America
19,0.00863584,0.00020483,0.02371879,Latin America
20,0.00827847,0.00222826,0.2691632,Latin America
21,0.00802079,0.00432616,0.53936831,Latin America
22,0.00812963,0.00626413,0.77053044,Latin America
23,0.00767618,0.00697016,0.90802512,Latin America
0,0.00757845,0.00720589,0.95083933,Latin America
1,0.00762092,0.00720005,0.94477456,Latin America
2,0.00716463,0.00713655,0.99608087,Latin America
3,0.00697622,0.00690671,0.99003624,Latin America
4,0.00717197,0.00792414,1.1048759,Latin America
5,0.00624314,0.00799143,1.28003433,Latin America
6,0.01291225,-0.00081734,-0.06329968,Africa & Middle East
7,0.01549312,-0.0014059,-0.09074324,Africa & Middle East
8,0.01772052,-0.00178976,-0.10099904,Africa & Middle East
9,0.01813698,-0.00158337,-0.08730047,Africa & Middle East
10,0.01856874,-0.00124792,-0.06720554,Africa & Middle East
11,0.01886186,-0.0010956,-0.05808523,Africa & Middle East
12,0.02012648,-0.00048169,-0.02393311,Africa & Middle East
13,0.02134591,0.00105136,0.0492537,Africa & Middle East
14,0.02239254,0.00383767,0.1713817,Africa & Middle East
15,0.02165164,0.00679823,0.31398212,Africa & Middle East
16,0.02067147,0.00964531,0.46659998,Africa & Middle East
17,0.02026234,0.01222922,0.60354451,Africa & Middle East
18,0.01995042,0.01240042,0.62156196,Africa & Middle East
19,0.01902423,0.01148548,0.60372877,Africa & Middle East
20,0.01790781,0.01074797,0.60018332,Africa & Middle East
21,0.01634683,0.01069493,0.65425082,Africa & Middle East
22,0.01530334,0.01135419,0.74194231,Africa & Middle East
23,0.01430801,0.01204312,0.84170519,Africa & Middle East
0,0.01547598,0.0123639,0.79890918,Africa & Middle East
1,0.0167415,0.0112034,0.66919911,Africa & Middle East
2,0.01601377,0.00828321,0.51725572,Africa & Middle East
3,0.01363738,0.00535408,0.39260326,Africa & Middle East
4,0.0116669,0.00260417,0.22321003,Africa & Middle East
5,0.01110589,0.00052856,0.04759302,Africa & Middle East
6,0.03713756,-0.00243039,-0.06544281,China
7,0.03652118,0.00052422,0.0143539,China
8,0.03492392,0.00523399,0.14986836,China
9,0.03421225,0.00973977,0.28468664,China
10,0.03461825,0.01295106,0.37411091,China
11,0.03408137,0.01466609,0.43032552,China
12,0.0328759,0.01520494,0.46249498,China
13,0.03226315,0.01521804,0.471685,China
14,0.03143356,0.01491006,0.47433572,China
15,0.02925422,0.01298468,0.4438565,China
16,0.02494294,0.01000088,0.40095042,China
17,0.01996887,0.00841997,0.42165506,China
18,0.0171066,0.00915371,0.53509835,China
19,0.0172325,0.01081176,0.62740526,China
20,0.01864718,0.01019218,0.54658045,China
21,0.01818648,0.00752561,0.41380214,China
22,0.01557927,0.00398295,0.25565723,China
23,0.01396119,0.00098029,0.07021562,China
0,0.01996407,-0.00170683,-0.08549502,China
1,0.02860526,-0.00429432,-0.15012336,China
2,0.03366702,-0.00565126,-0.16785732,China
3,0.03537267,-0.00514927,-0.14557212,China
4,0.0359039,-0.00451895,-0.12586236,China
5,0.03661472,-0.00376327,-0.10278033,China
6,0.00886722,-0.00105304,-0.11875691,India
7,0.00837265,-0.00086757,-0.10361947,India
8,0.00795369,-0.00043137,-0.0542353,India
9,0.0078054,-0.00017682,-0.02265362,India
10,0.0079267,0.00048931,0.06172978,India
11,0.00782261,0.00178462,0.22813633,India
12,0.00719204,0.00241374,0.3356129,India
13,0.00692176,0.00232815,0.3363518,India
14,0.0072626,0.0033851,0.46609995,India
15,0.00802232,0.00431566,0.53795722,India
16,0.00873225,0.00473205,0.54190488,India
17,0.00906099,0.00489522,0.54025278,India
18,0.00853108,0.00448299,0.52548846,India
19,0.00794826,0.00404586,0.50902513,India
20,0.00834337,0.00515317,0.61763608,India
21,0.00910746,0.0062597,0.68731604,India
22,0.00859811,0.00668252,0.77720796,India
23,0.00701868,0.00481051,0.68538721,India
0,0.0053734,0.00155326,0.2890642,India
1,0.00619517,0.00011717,0.01891232,India
2,0.00782084,-0.00042586,-0.05445256,India
3,0.00869895,-0.00064685,-0.07435924,India
4,0.0088867,-0.00081937,-0.09220206,India
5,0.0092624,-0.00105505,-0.11390711,India
6,0.07330396,0.05867125,0.80038319,North Pacific
7,0.07767644,0.04420159,0.56904756,North Pacific
8,0.08024996,0.03785112,0.47166528,North Pacific
9,0.08263508,0.03777921,0.45718124,North Pacific
10,0.08565778,0.03983186,0.46501158,North Pacific
11,0.09051239,0.04345125,0.48005856,North Pacific
12,0.09842981,0.0518324,0.52659252,North Pacific
13,0.10566491,0.06779674,0.64162019,North Pacific
14,0.11290744,0.08660418,0.76703693,North Pacific
15,0.11874883,0.10948195,0.92196239,North Pacific
16,0.12036621,0.12750628,1.05931963,North Pacific
17,0.11929636,0.13892113,1.16450443,North Pacific
18,0.11830949,0.14934525,1.2623269,North Pacific
19,0.11327451,0.15150855,1.33753446,North Pacific
20,0.1078287,0.14804939,1.37300547,North Pacific
21,0.10317161,0.14131502,1.36970841,North Pacific
22,0.0941616,0.13557516,1.43981377,North Pacific
23,0.0845512,0.13013382,1.53911268,North Pacific
0,0.078437,0.1280779,1.6328762,North Pacific
1,0.07529781,0.1221299,1.62195817,North Pacific
2,0.07496616,0.11781813,1.57161754,North Pacific
3,0.07488608,0.11641996,1.55462751,North Pacific
4,0.07391082,0.10717979,1.45012303,North Pacific
5,0.07030644,0.08325182,1.18412791,North Pacific
6,0.00082854,0.00142937,1.72517679,Arctic
7,0.00078662,0.00120709,1.53453114,Arctic
8,0.00091007,0.00138464,1.52147022,Arctic
9,0.00106231,0.00152666,1.43710949,Arctic
10,0.00121958,0.00150934,1.23758987,Arctic
11,0.00129928,0.00163772,1.26048303,Arctic
12,0.00139178,0.00194606,1.39825335,Arctic
13,0.00151619,0.00231282,1.52541001,Arctic
14,0.00163652,0.00242744,1.48329196,Arctic
15,0.00155857,0.00205978,1.32158203,Arctic
16,0.0013236,0.0015159,1.14528446,Arctic
17,0.00117656,0.00154908,1.31662117,Arctic
18,0.00101992,0.00139826,1.37094693,Arctic
19,0.00092338,0.00124499,1.34829762,Arctic
20,0.00086736,0.00127048,1.46476152,Arctic
21,0.00085429,0.00127049,1.48719333,Arctic
22,0.00100042,0.00126279,1.26225564,Arctic
23,0.00126178,0.00158983,1.25998781,Arctic
0,0.00137182,0.0019518,1.42278026,Arctic
1,0.0013866,0.00197201,1.42219382,Arctic
2,0.00129512,0.00202004,1.55973713,Arctic
3,0.00110285,0.00192626,1.74661676,Arctic
4,0.00096895,0.0017277,1.78306097,Arctic
5,0.00092434,0.00168651,1.82456617,Arctic
6,5.09e-06,5.78e-06,1.13401296,Honiara FIR
7,3.06e-06,6.07e-06,1.98227649,Honiara FIR
8,3.35e-06,1.95e-06,0.5818987,Honiara FIR
9,3.68e-06,4.21e-06,1.14211276,Honiara FIR
10,1.122e-05,2.104e-05,1.87526043,Honiara FIR
11,9.23e-06,1.92e-05,2.08116398,Honiara FIR
12,3.95e-06,1.139e-05,2.88265824,Honiara FIR
13,7e-06,1.283e-05,1.83164811,Honiara FIR
14,2.349e-05,2.446e-05,1.04139041,Honiara FIR
15,9.03e-06,1.526e-05,1.68985717,Honiara FIR
16,3.785e-05,0.0001084,2.86370611,Honiara FIR
17,3.093e-05,9.855e-05,3.18613828,Honiara FIR
18,8.94e-06,1.77e-05,1.98033983,Honiara FIR
19,1.023e-05,2.08e-06,0.20340048,Honiara FIR
20,5.14e-06,-3.63e-06,-0.70564202,Honiara FIR
21,3.4e-06,-2.07e-06,-0.60919566,Honiara FIR
22,1.75e-06,-1.47e-06,-0.83998855,Honiara FIR
23,1.301e-05,-3.633e-05,-2.79264178,Honiara FIR
0,3.174e-05,-4.308e-05,-1.35718917,Honiara FIR
1,2.49e-05,-1.65e-05,-0.66276865,Honiara FIR
2,4.596e-05,-3.672e-05,-0.79894743,Honiara FIR
3,2.405e-05,-8.93e-06,-0.37117721,Honiara FIR
4,1.74e-05,-1.407e-05,-0.8087721,Honiara FIR
5,1.177e-05,-2.9e-07,-0.02430433,Honiara FIR
6,4.56e-06,7.9e-07,0.17301559,Nauru FIR
7,2.22e-06,1.75e-06,0.79200717,Nauru FIR
8,1.95e-06,5.03e-06,2.57407127,Nauru FIR
9,2.63e-06,1.6e-07,0.06254152,Nauru FIR
10,3.47e-06,1.17e-06,0.33640912,Nauru FIR
11,1.72e-06,4.2e-07,0.24589745,Nauru FIR
12,2.58e-06,3e-08,0.00994702,Nauru FIR
13,3.84e-06,4.7e-07,0.12333686,Nauru FIR
14,1.15e-06,1.27e-06,1.10734592,Nauru FIR
15,1.95e-06,2.53e-06,1.29826352,Nauru FIR
16,5.32e-06,9.02e-06,1.69657994,Nauru FIR
17,3.83e-06,7.07e-06,1.84554299,Nauru FIR
18,1.209e-05,7.58e-06,0.62642668,Nauru FIR
19,1.263e-05,-6.5e-07,-0.0515178,Nauru FIR
20,3.9e-06,-1.34e-06,-0.34362121,Nauru FIR
21,1.21e-06,-5e-08,-0.03986874,Nauru FIR
22,7.3e-07,-1.5e-07,-0.21022304,Nauru FIR
23,2.09e-06,-2.69e-06,-1.283988,Nauru FIR
0,2.42e-06,-2.67e-06,-1.10185475,Nauru FIR
1,9.13e-06,-7.87e-06,-0.86166796,Nauru FIR
2,8.23e-06,-1.349e-05,-1.63883891,Nauru FIR
3,2.15e-06,-3.59e-06,-1.66446291,Nauru FIR
4,4.76e-06,-4.51e-06,-0.9468133,Nauru FIR
5,6e-06,2.53e-06,0.42159339,Nauru FIR
6,5.193e-05,1.348e-05,0.25958156,Port Moresby FIR
7,3.085e-05,2.727e-05,0.88392098,Port Moresby FIR
8,5.367e-05,6.82e-05,1.27055452,Port Moresby FIR
9,2.43e-05,4.835e-05,1.9896215,Port Moresby FIR
10,8.57e-06,2.357e-05,2.75172068,Port Moresby FIR
11,7.26e-06,1.737e-05,2.39193993,Port Moresby FIR
12,1.795e-05,5.653e-05,3.14850423,Port Moresby FIR
13,4.573e-05,0.00018944,4.14222177,Port Moresby FIR
14,4.684e-05,0.00013784,2.94253287,Port Moresby FIR
15,0.00010916,0.00018874,1.72904883,Port Moresby FIR
16,0.00012641,0.00042652,3.37411375,Port Moresby FIR
17,0.00019083,0.0006667,3.49371323,Port Moresby FIR
18,0.00018983,0.00045192,2.38063397,Port Moresby FIR
19,0.00015969,0.00027954,1.7504987,Port Moresby FIR
20,7.282e-05,4.38e-05,0.60157573,Port Moresby FIR
21,2.929e-05,-1.04e-05,-0.3550847,Port Moresby FIR
22,2.046e-05,-1.264e-05,-0.61772468,Port Moresby FIR
23,4.072e-05,-2.461e-05,-0.60444966,Port Moresby FIR
0,4.297e-05,-4.9e-05,-1.14042145,Port Moresby FIR
1,5.808e-05,-6.848e-05,-1.17907989,Port Moresby FIR
2,7.303e-05,-4.56e-05,-0.62432287,Port Moresby FIR
3,0.00016079,-0.00014941,-0.92924536,Port Moresby FIR
4,0.00015679,-0.00012544,-0.80002085,Port Moresby FIR
5,0.0001182,-5.607e-05,-0.47439443,Port Moresby FIR
6,0.00045025,0.00068801,1.52808316,Nuuk FIR
7,0.0005007,0.0007483,1.4944897,Nuuk FIR
8,0.00047084,0.00054117,1.14937024,Nuuk FIR
9,0.00037208,0.00031477,0.84598785,Nuuk FIR
10,0.00033096,0.00031642,0.95608034,Nuuk FIR
11,0.00031803,0.00031387,0.98690157,Nuuk FIR
12,0.000404,0.00056158,1.39004636,Nuuk FIR
13,0.00073417,0.00100078,1.363142,Nuuk FIR
14,0.00093603,0.00121944,1.30278114,Nuuk FIR
15,0.00094399,0.00113943,1.20703906,Nuuk FIR
16,0.00080486,0.00103267,1.28304327,Nuuk FIR
17,0.00077708,0.00103734,1.3349112,Nuuk FIR
18,0.00068417,0.00109523,1.60082426,Nuuk FIR
19,0.00065344,0.00115536,1.76811562,Nuuk FIR
20,0.00050993,0.00094052,1.84441644,Nuuk FIR
21,0.00030098,0.0007695,2.55667219,Nuuk FIR
22,0.00022543,0.00049879,2.21260432,Nuuk FIR
23,0.00017113,0.00042014,2.45515241,Nuuk FIR
0,0.00013591,0.00038899,2.86203481,Nuuk FIR
1,0.00015562,0.00037533,2.41179399,Nuuk FIR
2,0.00023607,0.00036574,1.54929783,Nuuk FIR
3,0.00027995,0.00040426,1.44403468,Nuuk FIR
4,0.00028171,0.00040596,1.44107408,Nuuk FIR
5,0.00041811,0.00062931,1.50512403,Nuuk FIR
6,0.00049172,0.00064786,1.31754666,Reykjavik FIR
7,0.00046919,0.0006867,1.46358175,Reykjavik FIR
8,0.00058287,0.00065623,1.12584697,Reykjavik FIR
9,0.00084014,0.00064398,0.76651968,Reykjavik FIR
10,0.00062898,0.00042843,0.68114672,Reykjavik FIR
11,0.0007467,0.00044149,0.59125798,Reykjavik FIR
12,0.00101005,0.00081943,0.8112777,Reykjavik FIR
13,0.00110081,0.00144287,1.31073365,Reykjavik FIR
14,0.00112595,0.00148296,1.31707823,Reykjavik FIR
15,0.00110364,0.00143933,1.30416834,Reykjavik FIR
16,0.00095065,0.00145578,1.53134469,Reykjavik FIR
17,0.00071313,0.00145569,2.04126962,Reykjavik FIR
18,0.00072132,0.00144818,2.00769334,Reykjavik FIR
19,0.00056049,0.00136579,2.43674978,Reykjavik FIR
20,0.00037216,0.00108472,2.91466277,Reykjavik FIR
21,0.00027402,0.0008789,3.20739729,Reykjavik FIR
22,0.00019238,0.00056543,2.93904101,Reykjavik FIR
23,0.00016711,0.00056991,3.4104577,Reykjavik FIR
0,0.00014859,0.00061554,4.1424466,Reykjavik FIR
1,0.00012189,0.00048174,3.95220457,Reykjavik FIR
2,0.00011432,0.00038294,3.34972134,Reykjavik FIR
3,0.00017757,0.00041591,2.342233,Reykjavik FIR
4,0.00031733,0.00055085,1.73590119,Reykjavik FIR
5,0.00039178,0.00071643,1.82867016,Reykjavik FIR
6,0.00081264,0.00220735,2.71626348,Edmonton FIR
7,0.00069952,0.00198292,2.83467127,Edmonton FIR
8,0.00060099,0.00160295,2.66715974,Edmonton FIR
9,0.00063012,0.00170245,2.70180705,Edmonton FIR
10,0.00092276,0.00218552,2.36845253,Edmonton FIR
11,0.00094837,0.00149419,1.57554448,Edmonton FIR
12,0.00076827,0.00086269,1.12290763,Edmonton FIR
13,0.00072292,0.00030776,0.42571477,Edmonton FIR
14,0.00100769,1.777e-05,0.01763466,Edmonton FIR
15,0.00131897,-9.03e-06,-0.00684799,Edmonton FIR
16,0.00153185,6.03e-06,0.00393572,Edmonton FIR
17,0.00168887,-8.193e-05,-0.04851463,Edmonton FIR
18,0.00175908,9.032e-05,0.05134266,Edmonton FIR
19,0.00174873,0.00017401,0.09950713,Edmonton FIR
20,0.00181788,0.00036216,0.1992231,Edmonton FIR
21,0.00195913,0.00057272,0.29233183,Edmonton FIR
22,0.0020278,0.00086405,0.42610421,Edmonton FIR
23,0.00188165,0.00128783,0.68441314,Edmonton FIR
0,0.00168539,0.00195615,1.16065274,Edmonton FIR
1,0.00156226,0.00226791,1.45168481,Edmonton FIR
2,0.00143539,0.0031368,2.18532363,Edmonton FIR
3,0.00124078,0.00355234,2.86299602,Edmonton FIR
4,0.00107777,0.00331269,3.07366734,Edmonton FIR
5,0.00089158,0.00272103,3.05192654,Edmonton FIR
6,0.00060296,0.00180213,2.98879064,Moncton FIR
7,0.00033248,0.0008688,2.61309215,Moncton FIR
8,0.00018943,0.00035292,1.86304338,Moncton FIR
9,0.00016976,0.00015545,0.91568865,Moncton FIR
10,0.00020878,6.063e-05,0.29038178,Moncton FIR
11,0.00020614,-1.976e-05,-0.09587474,Moncton FIR
12,0.00020287,-8.604e-05,-0.42412799,Moncton FIR
13,0.00024124,-5.527e-05,-0.22910673,Moncton FIR
14,0.0003321,-9.448e-05,-0.28448675,Moncton FIR
15,0.00053903,-0.00015707,-0.29139128,Moncton FIR
16,0.0007399,-0.00026712,-0.36102664,Moncton FIR
17,0.00076706,-0.00017379,-0.22656909,Moncton FIR
18,0.0007366,-4.986e-05,-0.06768652,Moncton FIR
19,0.00060302,0.00015718,0.26065607,Moncton FIR
20,0.0004615,0.00035291,0.76471046,Moncton FIR
21,0.00039837,0.00053961,1.354536,Moncton FIR
22,0.00049289,0.0012301,2.49570747,Moncton FIR
23,0.00070113,0.00235689,3.36157398,Moncton FIR
0,0.00102972,0.00396312,3.84873116,Moncton FIR
1,0.00132861,0.00516447,3.88711081,Moncton FIR
2,0.00125002,0.00446307,3.5703868,Moncton FIR
3,0.00113841,0.00401225,3.52443995,Moncton FIR
4,0.00105702,0.00336357,3.1821399,Moncton FIR
5,0.00094769,0.00286222,3.02021675,Moncton FIR
6,0.00432984,0.01169516,2.70106339,Gander FIR
7,0.00357033,0.00746218,2.09005294,Gander FIR
8,0.00245067,0.00343058,1.39985293,Gander FIR
9,0.00169833,0.00151909,0.89446141,Gander FIR
10,0.00133911,0.00055928,0.41764956,Gander FIR
11,0.00126198,0.00037956,0.3007664,Gander FIR
12,0.00170752,0.00057697,0.33789803,Gander FIR
13,0.00294206,0.00110041,0.37402575,Gander FIR
14,0.00423535,0.00139789,0.3300532,Gander FIR
15,0.00487918,0.00158597,0.32504942,Gander FIR
16,0.0048291,0.00233789,0.48412625,Gander FIR
17,0.00432373,0.00286047,0.66157484,Gander FIR
18,0.00340876,0.00303372,0.88997818,Gander FIR
19,0.00289023,0.00381742,1.32080239,Gander FIR
20,0.00249391,0.00463025,1.85661827,Gander FIR
21,0.00216471,0.00495857,2.29064585,Gander FIR
22,0.00167683,0.00457449,2.72806291,Gander FIR
23,0.00148587,0.00485854,3.26983138,Gander FIR
0,0.00175529,0.00650748,3.70734579,Gander FIR
1,0.00267784,0.01032144,3.85438248,Gander FIR
2,0.00396884,0.01520565,3.83125696,Gander FIR
3,0.00476316,0.01818808,3.81848778,Gander FIR
4,0.00472618,0.01726981,3.6540762,Gander FIR
5,0.00453148,0.01432089,3.16031183,Gander FIR
6,0.00074811,0.0016142,2.15771078,Montreal FIR
7,0.00064658,0.00110276,1.70553552,Montreal FIR
8,0.00076616,0.00102044,1.33189101,Montreal FIR
9,0.00066126,0.00061356,0.92786555,Montreal FIR
10,0.00048094,0.0001651,0.3432839,Montreal FIR
11,0.00049934,3.775e-05,0.07559101,Montreal FIR
12,0.00048615,-5.431e-05,-0.11170986,Montreal FIR
13,0.00053936,-4.73e-05,-0.08768773,Montreal FIR
14,0.0008578,-1.674e-05,-0.01952075,Montreal FIR
15,0.00140559,2.097e-05,0.01492005,Montreal FIR
