Region,Share of year to reach 80% warming (%)
Accra FIR,11.18455787559003
Addis Abeba FIR,10.464799103196464
Africa & Middle East,25.495901357518342
Aktobe FIR,12.817539589788993
Alaska FIR,27.838930948763984
Albuquerque FIR,5.3023432113208395
Alger FIR,6.293624341991492
Almaty FIR,10.78240493312489
Amazonica FIR,22.89496485474772
Amman FIR,1.0399518684607594
Amsterdam FIR,6.513625075903202
Ankara FIR,5.556817161899473
Antananarivo FIR,2.2300516828459727
Antofagasta FIR,4.129111332466368
Arctic,35.008408779403595
Arkhangelsk FIR,9.683741988205558
Ashgabat FIR,3.048343806267983
Asmara FIR,1.3989164087952315
Asuncion FIR/UIR,2.650735064985754
Athinai FIR,3.5540214730300814
Atlanta FIR,6.109527958415878
Atlantico FIR,13.905600277520813
Auckland Oceanic FIR,13.73900224641122
Baghdad FIR,2.7080633331516704
Bahrain FIR,1.1564328639030559
Baku FIR,3.793298684749609
Bangkok FIR,15.187679543536243
Barcelona FIR,1.577943586114675
Barranquilla FIR,9.053667669861424
Beijing FIR,2.2357952180983083
Beira FIR,2.773313051540769
Beirut FIR,0.7756778077841407
Beograd FIR,5.855713330958317
Bishkek FIR,5.320497265444785
Bodo Oceanic FIR,4.424408567283437
Bogota FIR,17.46623923010543
Bordeaux FIR,4.813375567653698
Boston FIR,8.914050089063057
Brasilia FIR,14.574542575487074
Bratislava  FIR,8.056444302613112
Brazzaville FIR,15.238618887153777
Bremen FIR,8.81726846368464
Brest FIR,6.995501771918503
Brindisi FIR,3.1866240323781163
Brisbane FIR,12.246686527015312
Brussels FIR,7.0776778233215545
Bucarest FIR,10.032506764001369
Budapest FIR,8.019743094612059
Bujumbura FIR,2.2156465075921914
Cairo FIR,3.224616950280769
Canarias FIR,4.020430841331976
Cape Town FIR,2.0712647290080106
Casablanca FIR,2.149112054845936
Cayenne FIR,5.025422137719338
Central America FIR,11.416620359752946
Chennai FIR,16.612235325025264
Chicago FIR,6.305473869900772
China,20.724512690713468
Chisinau FIR,4.742904502077531
Cleveland FIR,6.406632168686682
Colombo FIR,13.185695292045983
Comodoro Rivadavia FIR,1.2963349871339915
Continental Europe,18.640511188877777
Copenhagen FIR,6.853783013748557
Cordoba FIR,5.182833621737576
Curacao FIR,4.8503099139837795
Curitiba FIR,13.602077785123967
Dakar FIR,18.686881612076338
Damascus FIR,2.1130063572343154
Dar-Es-Salaam FIR,6.277056791692497
Dashoguz FIR,2.202476122649566
Delhi FIR,1.9715526994532857
Denver FIR,8.022110411514806
Dhaka FIR,3.7004291021387283
Dnipro FIR,6.969672338935576
Dushanbe FIR,3.316726237533998
East Asia,15.235257863130238
