Month,Flight distance,Contrail warming,Warming per flight distance ,Region
Jan,22.97,0.2,8.54,Athinai FIR
Jan,14.04,0.41,29.27,Budapest FIR
Jan,5.56,0.06,10.9,Brindisi FIR
Jan,22.87,0.21,9.05,Milano FIR
Jan,22.02,0.18,8.37,Roma FIR
Jan,2.49,0.04,15.81,Ljubljana FIR
Jan,14.8,0.28,19.11,Praha FIR
Jan,1.75,0.0,0.48,Tel-Aviv FIR
Jan,3.82,0.01,3.65,Malta FIR
Jan,16.4,0.26,15.7,Wien FIR
Jan,25.73,0.38,14.77,Lisboa FIR
Jan,21.62,1.07,49.68,Santa Maria FIR
Jan,4.62,0.16,35.59,Sarajevo FIR
Jan,21.29,1.11,52.04,Bucarest FIR
Jan,9.11,0.15,16.4,Switzerland FIR
Jan,56.16,1.23,21.97,Ankara FIR
Jan,23.48,0.39,16.71,Istanbul FIR
Jan,0.57,0.05,80.89,Chisinau FIR
Jan,1.3,0.02,13.06,Skopje FIR
Jan,10.48,0.28,26.89,Beograd FIR
Jan,5.4,0.13,24.72,Bratislava  FIR
Jan,3.6,0.0,0.03,Santo Domingo FIR
Jan,13.91,0.02,1.78,Central America FIR
Jan,6.5,0.0,0.26,Kingston FIR
Jan,0.22,0.0,2.26,Oceanica Mazatlan FIR
Jan,76.16,0.64,8.37,Mexico FIR
Jan,10.05,0.0,0.34,Panama FIR
Jan,0.9,0.0,0.0,Port-Au-Prince FIR
Jan,12.21,0.04,3.14,Habana FIR/UIR
Jan,6.31,0.05,7.47,Nadi FIR
Jan,1.7,0.01,5.53,Tahiti Oceanic FIR
Jan,9.95,-0.01,-0.78,New Zealand FIR
Jan,10.1,0.1,9.86,Auckland Oceanic FIR
Jan,7.03,0.07,10.62,Kabul FIR
Jan,16.29,0.07,4.2,Bahrain FIR
Jan,47.96,0.76,15.88,Jeddah FIR
Jan,44.72,0.26,5.81,Tehran FIR
Jan,1.6,0.02,11.78,Amman FIR
Jan,4.45,0.02,5.1,Kuwait FIR
Jan,0.54,0.0,0.76,Beirut FIR
Jan,15.51,0.04,2.89,Emirates FIR
Jan,28.22,0.2,7.2,Muscat FIR
Jan,19.62,0.09,4.57,Karachi FIR
Jan,7.45,0.06,7.42,Lahore FIR
Jan,17.04,0.21,12.17,Baghdad FIR
Jan,1.58,0.01,8.14,Damascus FIR
Jan,3.25,0.03,9.35,Sanaa FIR
Jan,31.44,0.77,24.46,Alaska FIR
Jan,34.56,0.02,0.45,Taipei FIR
Jan,151.92,0.04,0.29,Fukuoka FIR
Jan,36.68,0.01,0.24,Incheon FIR
Jan,46.9,0.4,8.49,Manila FIR
Jan,4.64,0.02,3.69,Cordoba FIR
Jan,6.58,0.01,1.08,Ezeiza FIR
Jan,1.83,0.0,0.65,Mendoza FIR
Jan,1.94,0.01,3.1,Resistencia FIR
Jan,1.8,0.0,2.7,Comodoro Rivadavia FIR
Jan,7.68,0.14,18.27,Atlantico FIR
Jan,18.1,0.48,26.55,Amazonica FIR
Jan,27.77,0.18,6.43,Brasilia FIR
Jan,27.01,0.08,2.81,Curitiba FIR
Jan,27.55,0.35,12.67,Recife FIR
Jan,0.48,0.0,8.62,Punta Arenas FIR
Jan,7.14,0.0,0.2,Santiago FIR
Jan,7.37,0.04,5.33,Antofagasta FIR
Jan,0.76,0.02,21.75,Isla De Pascua FIR
Jan,2.04,0.01,3.05,Puerto Montt FIR
Jan,4.29,0.01,3.15,Guayaquil FIR/UIR
Jan,1.22,0.01,6.76,Asuncion FIR/UIR
Jan,7.33,0.0,0.44,Barranquilla FIR
Jan,15.64,0.09,5.59,Bogota FIR
