Month,Flight distance,Contrail warming,Warming per flight distance ,Region
Mar,2.38,0.04,16.62,Port Moresby FIR
Mar,9.43,0.2,21.11,Nuuk FIR
Mar,11.76,0.1,8.31,Reykjavik FIR
Mar,29.96,0.75,25.11,Edmonton FIR
Mar,12.9,0.52,40.39,Moncton FIR
Mar,64.96,2.47,38.03,Gander FIR
Mar,23.18,0.47,20.13,Montreal FIR
Mar,11.64,0.2,17.02,Vancouver FIR
Mar,20.31,0.55,27.02,Winnipeg FIR
Mar,20.73,0.26,12.51,Toronto FIR
Mar,13.99,0.05,3.85,Alger FIR
Mar,157.91,0.07,0.47,Accra FIR
Mar,4.44,0.11,23.91,Kano FIR
Mar,4.42,0.08,18.64,Niamey FIR
Mar,2.74,0.0,1.51,Tunis FIR
Mar,14.38,0.31,21.4,Brussels FIR
Mar,41.47,0.67,16.2,Langen FIR
Mar,25.42,0.48,18.72,Munchen FIR
Mar,24.7,0.67,27.25,Bremen FIR
Mar,4.27,0.13,30.32,Tallinn FIR
Mar,5.61,0.13,22.52,Helsinki FIR
Mar,43.52,2.3,52.78,Shanwick FIR
Mar,9.73,0.11,11.45,Scottish FIR
Mar,56.69,1.37,24.21,London FIR
Mar,19.14,0.73,38.27,Amsterdam FIR
Mar,12.25,0.36,29.42,Shannon FIR
Mar,10.0,0.21,20.73,Copenhagen FIR
Mar,0.79,0.0,5.93,Bodo Oceanic FIR
Mar,11.57,0.09,8.17,Polaris FIR
Mar,25.21,1.04,41.3,Warszawa FIR
Mar,22.75,0.5,22.13,Sweden FIR
Mar,4.85,0.19,38.86,Riga FIR
Mar,3.36,0.14,42.64,Vilnius FIR
Mar,2.07,0.01,6.32,Cape Town FIR
Mar,6.33,0.01,2.27,Johannesburg FIR
Mar,0.85,0.02,18.11,Johannesburg Oceanic FIR
Mar,2.1,0.0,1.33,Gaborone FIR
Mar,4.04,0.23,56.84,Brazzaville FIR
Mar,1.54,0.04,26.41,Mauritius FIR
Mar,1.21,0.03,21.24,Lusaka FIR
Mar,2.39,0.02,10.03,Antananarivo FIR
Mar,4.04,0.16,39.27,Luanda FIR
Mar,1.84,0.02,12.99,Beira FIR
Mar,2.36,0.03,13.11,Seychelles FIR
Mar,3.51,0.09,25.17,N'Djamena FIR
Mar,1.51,0.0,2.91,Harare FIR
Mar,0.54,0.02,28.93,Lilongwe FIR
Mar,1.48,0.0,2.05,Windhoek FIR
Mar,2.98,0.17,56.36,Kinshasa FIR
Mar,14.21,0.05,3.39,Canarias FIR
Mar,0.59,0.0,5.53,Roberts FIR
Mar,23.22,0.04,1.63,Casablanca FIR
Mar,13.91,0.16,11.74,Dakar FIR
Mar,4.27,0.06,15.21,Sal Oceanic FIR
Mar,5.11,0.01,1.83,Addis Abeba FIR
Mar,0.03,0.0,43.12,Bujumbura FIR
Mar,5.54,0.01,2.02,Mogadishu FIR/UIR
Mar,22.29,0.04,1.84,Cairo FIR
Mar,0.62,0.0,0.77,Asmara FIR
Mar,4.08,0.01,3.61,Nairobi FIR
Mar,2.98,0.01,3.35,Tripoli FIR
Mar,0.05,0.0,17.88,Kigali FIR
Mar,6.91,0.02,3.33,Khartoum FIR
Mar,2.84,0.06,20.37,Dar-Es-Salaam FIR
Mar,0.48,0.0,3.93,Entebbe FIR
Mar,71.61,0.44,6.18,Albuquerque FIR
Mar,96.67,1.55,16.03,Oakland Oceanic FIR
Mar,54.34,0.68,12.53,Chicago FIR
Mar,35.94,0.73,20.27,Boston FIR
Mar,84.28,0.79,9.34,Washington FIR
Mar,83.15,1.7,20.39,Denver FIR
Mar,55.78,0.4,7.09,Fort Worth FIR
Mar,59.02,0.38,6.49,Houston FIR
Mar,51.6,0.39,7.53,Indianapolis FIR
Mar,87.73,0.37,4.18,Jacksonville FIR
Mar,64.04,1.02,15.85,Kansas City FIR
Mar,66.15,0.14,2.08,Los Angeles FIR
Mar,56.47,1.71,30.24,Salt Lake City FIR
Mar,70.7,0.19,2.64,Miami FIR/UIR
Mar,58.05,0.65,11.23,Memphis FIR
Mar,57.63,1.52,26.45,Minneapolis FIR
Mar,37.39,0.27,7.2,New York FIR
Mar,44.71,0.26,5.91,Oakland FIR
Mar,42.77,0.48,11.14,Cleveland FIR
Mar,37.45,0.51,13.52,Seattle FIR
Mar,68.23,0.34,5.03,Atlanta FIR
Mar,48.69,1.58,32.4,New York Oceanic FIR
Mar,1.91,0.06,29.48,Tirana FIR
Mar,15.19,0.42,27.94,Sofia FIR
Mar,10.13,0.02,1.71,Nicosia FIR
Mar,8.78,0.14,16.14,Zagreb FIR
Mar,21.69,0.05,2.21,Barcelona FIR
Mar,47.8,0.71,14.77,Madrid FIR
Mar,22.7,0.51,22.5,Bordeaux FIR
Mar,8.06,0.11,13.45,Reims FIR
Mar,41.11,0.76,18.52,Paris FIR
Mar,30.31,0.26,8.72,Marseille FIR
Mar,23.41,1.0,42.57,Brest FIR
Mar,24.29,0.23,9.66,Athinai FIR
Mar,13.74,0.2,14.4,Budapest FIR
Mar,5.76,0.06,10.07,Brindisi FIR
Mar,24.31,0.31,12.64,Milano FIR
Mar,22.45,0.11,4.75,Roma FIR
Mar,2.47,0.05,18.49,Ljubljana FIR
Mar,14.71,0.48,32.36,Praha FIR
Mar,1.72,0.0,0.06,Tel-Aviv FIR
Mar,4.1,0.0,0.35,Malta FIR
Mar,16.96,0.3,17.54,Wien FIR
Mar,26.09,0.42,16.12,Lisboa FIR
Mar,21.34,0.66,31.04,Santa Maria FIR
Mar,4.64,0.08,18.14,Sarajevo FIR
Mar,20.64,0.55,26.63,Bucarest FIR
Mar,9.99,0.1,10.4,Switzerland FIR
Mar,55.0,0.88,16.09,Ankara FIR
Mar,23.29,0.17,7.46,Istanbul FIR
Mar,0.57,0.01,20.77,Chisinau FIR
Mar,1.43,0.05,34.44,Skopje FIR
Mar,10.35,0.29,28.5,Beograd FIR
Mar,5.08,0.1,19.93,Bratislava  FIR
Mar,3.65,0.0,0.89,Santo Domingo FIR
Mar,13.84,0.04,2.67,Central America FIR
Mar,6.3,0.0,0.47,Kingston FIR
Mar,0.26,-0.0,-0.66,Oceanica Mazatlan FIR
Mar,76.77,0.35,4.53,Mexico FIR
Mar,9.56,0.02,2.46,Panama FIR
Mar,0.78,0.0,1.43,Port-Au-Prince FIR
Mar,12.03,0.03,2.32,Habana FIR/UIR
Mar,5.14,0.07,13.19,Nadi FIR
Mar,1.54,0.01,8.99,Tahiti Oceanic FIR
Mar,9.93,0.04,3.67,New Zealand FIR
Mar,8.39,0.19,22.98,Auckland Oceanic FIR
Mar,2.34,0.01,5.55,Kabul FIR
Mar,15.86,0.04,2.71,Bahrain FIR
Mar,46.61,0.1,2.06,Jeddah FIR
Mar,49.07,0.2,3.98,Tehran FIR
Mar,1.52,0.0,1.11,Amman FIR
Mar,4.25,0.01,1.86,Kuwait FIR
Mar,0.46,0.0,0.05,Beirut FIR
Mar,15.72,0.01,0.69,Emirates FIR
Mar,34.1,0.03,0.98,Muscat FIR
Mar,7.33,0.03,3.48,Karachi FIR
Mar,4.5,0.02,5.11,Lahore FIR
Mar,16.73,0.05,2.85,Baghdad FIR
Mar,2.28,0.01,4.14,Damascus FIR
Mar,3.53,0.0,0.86,Sanaa FIR
Mar,33.74,1.03,30.5,Alaska FIR
Mar,33.81,0.01,0.38,Taipei FIR
Mar,150.78,0.34,2.23,Fukuoka FIR
Mar,35.54,-0.0,-0.04,Incheon FIR
Mar,45.78,0.21,4.58,Manila FIR
Mar,4.49,0.0,0.37,Cordoba FIR
Mar,6.02,0.01,1.51,Ezeiza FIR
Mar,1.62,0.0,0.82,Mendoza FIR
Mar,1.71,0.0,0.18,Resistencia FIR
Mar,1.23,0.01,4.99,Comodoro Rivadavia FIR
Mar,7.45,0.2,26.43,Atlantico FIR
Mar,16.27,0.42,25.54,Amazonica FIR
Mar,24.38,0.25,10.43,Brasilia FIR
Mar,23.98,0.06,2.59,Curitiba FIR
Mar,23.14,0.31,13.3,Recife FIR
Mar,0.62,0.02,25.02,Punta Arenas FIR
Mar,6.74,0.0,0.66,Santiago FIR
Mar,7.5,0.02,2.31,Antofagasta FIR
Mar,0.6,0.01,22.9,Isla De Pascua FIR
Mar,1.56,0.0,2.55,Puerto Montt FIR
Mar,4.66,0.04,9.55,Guayaquil FIR/UIR
Mar,1.1,0.0,3.09,Asuncion FIR/UIR
Mar,6.86,0.05,6.78,Barranquilla FIR
Mar,14.28,0.12,8.53,Bogota FIR
Mar,3.81,0.07,17.59,La Paz FIR
Mar,0.93,0.01,11.51,Paramaribo FIR
Mar,0.62,0.0,5.79,Cayenne FIR
Mar,16.27,0.19,11.97,Lima FIR
Mar,1.86,0.0,2.11,Montevideo FIR
Mar,2.16,0.03,15.21,Maiquetia FIR
Mar,1.54,0.02,16.11,Georgetown FIR
Mar,8.95,0.04,4.9,San Juan Oceanic FIR/UIR
Mar,2.33,0.02,9.06,Curacao FIR
Mar,6.92,0.06,8.84,Piarco FIR
Mar,4.73,0.21,45.27,Almaty FIR
Mar,5.82,0.41,69.99,Nur-Sultan FIR
Mar,5.14,0.16,31.98,Shymkent FIR
Mar,7.54,0.65,86.61,Aktobe FIR
Mar,4.32,0.12,28.36,Baku FIR
Mar,0.5,0.02,33.55,Bishkek FIR
Mar,0.4,0.01,30.74,Osh FIR
Mar,0.96,0.02,16.53,Yerevan FIR
Mar,7.99,0.09,11.79,Yakutsk FIR
Mar,1.95,0.05,27.36,Tibilisi FIR
Mar,13.46,0.07,5.57,Khabarovsk FIR
Mar,9.47,0.3,31.96,Magadan FIR
Mar,7.37,0.12,16.38,Petropavlovsk-Kamchatsky FIR
Mar,7.5,0.06,7.47,Irkutsk FIR
Mar,3.17,0.08,25.15,Kiev FIR
Mar,0.94,0.03,35.68,Dnipro FIR
Mar,1.57,0.05,30.38,Simferopol FIR
Mar,3.06,0.11,34.58,Lvov FIR
Mar,1.44,0.04,29.38,Odessa FIR
Mar,2.56,0.1,39.59,Arkhangelsk FIR
Mar,1.33,0.07,51.46,Kotlas FIR
Mar,8.91,0.28,31.04,Sankt-Peterburg FIR
Mar,1.88,0.02,12.27,Murmansk FIR
Mar,4.84,0.28,57.16,Vologda FIR
Mar,1.18,0.05,39.89,Kaliningrad FIR
Mar,10.16,0.57,56.38,Minsk FIR
Mar,13.92,0.47,33.69,Krasnoyarsk FIR
Mar,16.74,1.09,64.93,Novosibirsk FIR
Mar,19.1,0.98,51.38,Rostov-Na-Donu FIR
Mar,15.73,0.96,61.26,Yekaterinburg FIR
Mar,12.1,1.13,93.3,Tyumen FIR
Mar,0.81,0.01,15.93,Ashgabat FIR
Mar,1.05,0.03,29.95,Turkmenbashi FIR
Mar,0.56,0.01,19.06,Dashoguz FIR
Mar,0.94,0.01,6.76,Turkmenabat FIR
Mar,0.37,0.0,12.34,Dushanbe FIR
Mar,1.05,0.01,10.01,Samarkand FIR
Mar,2.67,0.07,25.81,Tashkent FIR
Mar,44.47,1.63,36.64,Moscow FIR
Mar,5.3,0.34,63.4,Syktyvkar FIR
Mar,13.52,0.84,61.9,Samara FIR
Mar,89.43,0.02,0.27,Mumbai FIR
Mar,8.69,0.23,26.71,Colombo FIR
Mar,5.31,0.02,3.2,Phnom Penh FIR
Mar,34.81,0.01,0.34,Kolkata FIR
Mar,4.33,0.0,0.0,Dhaka FIR
Mar,29.29,0.04,1.29,Hong Kong FIR
Mar,20.55,0.02,0.74,Delhi FIR
Mar,9.95,0.05,4.95,Vientiane FIR
Mar,1.03,0.0,0.04,Kathmandu FIR
Mar,64.89,0.28,4.38,Chennai FIR
Mar,1.48,0.03,20.61,Male FIR
Mar,46.03,0.14,3.1,Bangkok FIR
Mar,37.14,0.2,5.27,Ho Chi Minh FIR
Mar,13.57,0.02,1.4,Hanoi FIR
Mar,17.48,0.04,2.33,Yangon FIR
Mar,39.23,0.77,19.51,U-Jung Pandang FIR
Mar,7.57,0.08,9.92,Kota Kinabalu FIR
Mar,43.42,0.7,16.08,Jakarta FIR
Mar,26.09,0.22,8.49,Kuala Lumpur FIR
Mar,26.07,0.36,13.82,Singapore FIR
Mar,55.55,0.41,7.33,Brisbane FIR
Mar,70.93,0.57,8.06,Melbourne FIR
Mar,44.16,0.45,10.16,Beijing FIR
Mar,104.42,0.07,0.65,Guangzhou FIR
Mar,44.0,0.12,2.78,Wuhan FIR
Mar,16.98,0.06,3.38,Sanya FIR
Mar,2.13,-0.01,-6.85,Pyongyang FIR
Mar,22.91,0.27,11.72,Lanzhou FIR
Mar,15.76,0.15,9.32,Ulaanbaatar FIR
Mar,54.19,0.05,0.98,Kunming FIR
Mar,137.06,0.25,1.85,Shanghai FIR
Mar,10.02,0.29,28.96,Urumqi FIR
Mar,24.96,0.05,2.01,Shenyang FIR
Apr,1054.45,8.94,8.48,European Airspace
Apr,225.78,6.48,28.69,North Atlantic
Apr,726.06,4.84,6.67,Continental Europe
Apr,4949.35,50.13,10.13,Global
Apr,1326.87,16.13,12.16,USA
Apr,707.29,2.75,3.89,East Asia
Apr,331.8,2.2,6.62,Southeast Asia
Apr,174.96,1.72,9.82,Latin America
Apr,373.08,2.19,5.88,Africa & Middle East
Apr,744.93,3.06,4.11,China
Apr,197.44,0.49,2.47,India
Apr,2355.4,31.48,13.37,North Pacific
Apr,28.04,0.42,14.98,Arctic
Apr,0.33,0.0,0.9,Honiara FIR
Apr,0.09,-0.0,-4.25,Nauru FIR
Apr,1.89,0.04,20.5,Port Moresby FIR
Apr,9.89,0.22,22.28,Nuuk FIR
Apr,12.04,0.26,21.65,Reykjavik FIR
Apr,30.55,0.35,11.51,Edmonton FIR
Apr,14.58,0.93,63.76,Moncton FIR
Apr,74.04,2.57,34.67,Gander FIR
Apr,26.87,0.52,19.48,Montreal FIR
Apr,10.89,0.08,6.92,Vancouver FIR
Apr,22.15,0.27,12.09,Winnipeg FIR
Apr,24.27,0.24,10.05,Toronto FIR
Apr,13.25,0.11,8.34,Alger FIR
Apr,2.63,0.06,23.28,Accra FIR
Apr,3.95,0.06,15.52,Kano FIR
Apr,3.86,0.05,11.7,Niamey FIR
Apr,3.17,0.01,3.77,Tunis FIR
Apr,16.12,0.14,8.58,Brussels FIR
Apr,47.15,0.38,8.09,Langen FIR
Apr,28.45,0.24,8.53,Munchen FIR
Apr,26.36,0.13,4.98,Bremen FIR
Apr,4.6,0.0,0.95,Tallinn FIR
Apr,5.1,0.03,6.79,Helsinki FIR
Apr,48.46,0.67,13.83,Shanwick FIR
Apr,10.79,-0.03,-2.32,Scottish FIR
Apr,66.38,0.26,3.95,London FIR
Apr,20.91,0.12,5.67,Amsterdam FIR
Apr,14.28,0.11,7.36,Shannon FIR
Apr,10.53,0.03,2.95,Copenhagen FIR
Apr,0.77,0.0,1.55,Bodo Oceanic FIR
Apr,11.19,0.04,3.61,Polaris FIR
Apr,28.39,0.27,9.62,Warszawa FIR
Apr,22.17,0.09,3.87,Sweden FIR
Apr,5.21,0.01,2.8,Riga FIR
Apr,3.79,0.0,0.94,Vilnius FIR
Apr,2.18,0.02,8.82,Cape Town FIR
Apr,6.39,0.04,5.85,Johannesburg FIR
Apr,0.77,0.04,47.67,Johannesburg Oceanic FIR
Apr,1.69,0.01,8.24,Gaborone FIR
Apr,3.21,0.13,39.0,Brazzaville FIR
Apr,1.31,0.03,24.02,Mauritius FIR
Apr,0.97,0.03,27.49,Lusaka FIR
Apr,2.01,0.01,5.41,Antananarivo FIR
Apr,3.03,0.08,25.7,Luanda FIR
Apr,1.61,0.02,12.78,Beira FIR
Apr,1.92,0.01,5.92,Seychelles FIR
Apr,2.92,0.05,17.6,N'Djamena FIR
Apr,1.29,0.02,15.43,Harare FIR
Apr,0.5,0.01,21.32,Lilongwe FIR
Apr,0.99,0.0,3.37,Windhoek FIR
Apr,2.35,0.09,40.05,Kinshasa FIR
Apr,13.1,0.1,7.49,Canarias FIR
Apr,0.58,0.01,13.54,Roberts FIR
Apr,22.88,0.13,5.54,Casablanca FIR
Apr,12.28,0.21,17.12,Dakar FIR
Apr,3.85,0.13,34.35,Sal Oceanic FIR
Apr,4.37,0.03,6.51,Addis Abeba FIR
Apr,0.02,0.0,51.67,Bujumbura FIR
Apr,4.72,0.01,1.95,Mogadishu FIR/UIR
Apr,22.12,0.04,2.03,Cairo FIR
Apr,0.67,0.0,0.14,Asmara FIR
Apr,3.55,0.02,6.98,Nairobi FIR
Apr,2.61,0.01,3.4,Tripoli FIR
Apr,0.05,0.0,19.34,Kigali FIR
Apr,5.26,0.02,3.69,Khartoum FIR
Apr,2.45,0.04,16.88,Dar-Es-Salaam FIR
Apr,0.45,0.01,18.5,Entebbe FIR
Apr,70.5,0.34,4.86,Albuquerque FIR
Apr,92.68,2.18,23.53,Oakland Oceanic FIR
Apr,58.1,0.71,12.17,Chicago FIR
Apr,42.12,0.81,19.23,Boston FIR
Apr,89.32,0.57,6.38,Washington FIR
Apr,82.9,1.58,19.12,Denver FIR
Apr,56.02,0.45,7.97,Fort Worth FIR
Apr,58.28,0.3,5.15,Houston FIR
Apr,56.89,0.63,11.05,Indianapolis FIR
Apr,86.44,0.57,6.54,Jacksonville FIR
Apr,68.32,1.41,20.7,Kansas City FIR
Apr,67.75,0.51,7.48,Los Angeles FIR
Apr,57.23,1.75,30.66,Salt Lake City FIR
Apr,65.97,0.25,3.83,Miami FIR/UIR
Apr,59.96,0.78,12.98,Memphis FIR
Apr,59.1,1.78,30.04,Minneapolis FIR
Apr,42.93,0.2,4.67,New York FIR
Apr,47.12,0.47,10.06,Oakland FIR
Apr,50.2,0.36,7.15,Cleveland FIR
Apr,37.05,0.78,21.01,Seattle FIR
Apr,71.28,0.61,8.59,Atlanta FIR
Apr,43.66,1.63,37.23,New York Oceanic FIR
Apr,2.7,0.03,11.77,Tirana FIR
Apr,17.2,0.28,16.27,Sofia FIR
Apr,12.0,0.02,1.75,Nicosia FIR
Apr,12.92,0.25,19.24,Zagreb FIR
Apr,29.7,0.06,2.05,Barcelona FIR
Apr,55.6,0.21,3.79,Madrid FIR
Apr,29.69,0.27,9.02,Bordeaux FIR
Apr,9.87,0.05,4.98,Reims FIR
Apr,47.41,0.18,3.8,Paris FIR
Apr,39.27,0.24,6.23,Marseille FIR
Apr,29.19,0.14,4.75,Brest FIR
Apr,32.6,0.19,5.76,Athinai FIR
Apr,15.91,0.31,19.33,Budapest FIR
Apr,7.52,0.03,4.3,Brindisi FIR
Apr,30.9,0.31,10.07,Milano FIR
Apr,28.38,0.1,3.57,Roma FIR
Apr,3.56,0.08,21.06,Ljubljana FIR
Apr,16.27,0.15,8.96,Praha FIR
Apr,1.97,0.0,0.07,Tel-Aviv FIR
Apr,4.47,0.01,1.85,Malta FIR
Apr,20.53,0.26,12.78,Wien FIR
Apr,28.37,0.43,15.29,Lisboa FIR
Apr,20.78,0.79,38.02,Santa Maria FIR
Apr,6.45,0.08,12.2,Sarajevo FIR
Apr,21.78,0.36,16.33,Bucarest FIR
Apr,12.07,0.02,1.95,Switzerland FIR
Apr,57.8,0.3,5.14,Ankara FIR
Apr,27.3,0.15,5.34,Istanbul FIR
Apr,0.66,0.01,20.79,Chisinau FIR
Apr,2.26,0.03,11.28,Skopje FIR
Apr,14.73,0.27,18.61,Beograd FIR
Apr,5.72,0.12,21.67,Bratislava  FIR
Apr,3.26,0.01,2.13,Santo Domingo FIR
Apr,13.23,0.11,8.02,Central America FIR
Apr,6.09,0.05,7.67,Kingston FIR
Apr,0.17,0.0,14.45,Oceanica Mazatlan FIR
Apr,79.09,0.36,4.58,Mexico FIR
Apr,9.61,0.14,14.91,Panama FIR
Apr,0.69,0.0,5.97,Port-Au-Prince FIR
Apr,11.53,0.08,7.0,Habana FIR/UIR
Apr,5.89,0.1,16.53,Nadi FIR
Apr,1.49,0.02,10.29,Tahiti Oceanic FIR
Apr,9.8,0.03,2.96,New Zealand FIR
Apr,7.92,0.14,17.65,Auckland Oceanic FIR
Apr,2.22,0.05,23.7,Kabul FIR
Apr,15.21,0.03,1.98,Bahrain FIR
Apr,47.32,0.08,1.73,Jeddah FIR
Apr,48.09,0.29,6.04,Tehran FIR
Apr,1.69,0.0,1.49,Amman FIR
Apr,4.07,0.01,2.5,Kuwait FIR
Apr,0.62,0.0,0.46,Beirut FIR
Apr,14.79,0.02,1.49,Emirates FIR
Apr,31.68,0.12,3.76,Muscat FIR
Apr,9.46,0.1,10.1,Karachi FIR
Apr,4.41,0.06,13.09,Lahore FIR
Apr,17.43,0.05,2.83,Baghdad FIR
Apr,1.93,0.01,4.31,Damascus FIR
Apr,3.06,0.0,0.3,Sanaa FIR
Apr,32.41,0.38,11.57,Alaska FIR
Apr,34.7,0.2,5.8,Taipei FIR
Apr,155.14,1.21,7.79,Fukuoka FIR
Apr,36.27,0.11,2.91,Incheon FIR
Apr,46.51,0.21,4.44,Manila FIR
Apr,3.88,0.02,4.19,Cordoba FIR
Apr,5.55,0.03,4.52,Ezeiza FIR
Apr,1.44,0.01,9.65,Mendoza FIR
Apr,1.47,0.01,4.36,Resistencia FIR
Apr,1.03,0.02,17.46,Comodoro Rivadavia FIR
Apr,6.31,0.12,19.07,Atlantico FIR
Apr,14.49,0.36,24.97,Amazonica FIR
Apr,22.71,0.14,6.06,Brasilia FIR
Apr,21.7,0.07,3.05,Curitiba FIR
Apr,20.56,0.21,10.28,Recife FIR
Apr,0.47,0.01,30.58,Punta Arenas FIR
Apr,5.86,0.0,0.83,Santiago FIR
Apr,6.57,0.0,0.59,Antofagasta FIR
Apr,0.64,0.03,45.93,Isla De Pascua FIR
Apr,1.22,0.02,18.41,Puerto Montt FIR
Apr,4.56,0.01,2.91,Guayaquil FIR/UIR
Apr,0.99,0.01,6.7,Asuncion FIR/UIR
Apr,6.79,0.12,17.46,Barranquilla FIR
Apr,13.86,0.08,5.78,Bogota FIR
Apr,3.5,0.08,22.61,La Paz FIR
Apr,0.74,0.01,17.52,Paramaribo FIR
Apr,0.53,0.01,16.79,Cayenne FIR
Apr,15.02,0.18,11.77,Lima FIR
Apr,1.58,0.01,4.46,Montevideo FIR
Apr,1.78,0.04,23.15,Maiquetia FIR
Apr,1.37,0.02,13.24,Georgetown FIR
Apr,7.42,0.06,8.01,San Juan Oceanic FIR/UIR
Apr,2.15,0.04,20.06,Curacao FIR
Apr,5.79,0.08,14.6,Piarco FIR
Apr,4.33,0.07,16.67,Almaty FIR
Apr,5.48,0.06,10.3,Nur-Sultan FIR
Apr,4.84,0.1,21.44,Shymkent FIR
Apr,6.95,0.11,16.42,Aktobe FIR
Apr,3.88,0.02,5.56,Baku FIR
Apr,0.45,0.01,29.5,Bishkek FIR
Apr,0.36,0.01,39.39,Osh FIR
Apr,0.78,0.01,7.36,Yerevan FIR
Apr,7.61,0.12,15.62,Yakutsk FIR
Apr,2.05,0.03,15.25,Tibilisi FIR
Apr,12.58,0.11,8.79,Khabarovsk FIR
Apr,7.98,0.27,33.7,Magadan FIR
Apr,8.23,0.13,16.2,Petropavlovsk-Kamchatsky FIR
Apr,7.48,0.05,7.26,Irkutsk FIR
Apr,3.66,0.06,17.2,Kiev FIR
Apr,1.11,0.07,59.36,Dnipro FIR
Apr,2.07,0.07,35.57,Simferopol FIR
Apr,3.6,0.06,18.03,Lvov FIR
Apr,1.74,0.04,22.38,Odessa FIR
Apr,2.51,0.07,29.26,Arkhangelsk FIR
Apr,1.3,0.04,33.95,Kotlas FIR
Apr,8.63,0.2,22.95,Sankt-Peterburg FIR
Apr,1.75,0.02,10.94,Murmansk FIR
Apr,4.76,0.13,27.92,Vologda FIR
Apr,1.23,0.0,3.34,Kaliningrad FIR
Apr,10.78,0.03,3.16,Minsk FIR
Apr,13.17,0.14,10.64,Krasnoyarsk FIR
Apr,15.3,0.3,19.59,Novosibirsk FIR
Apr,21.01,0.88,42.0,Rostov-Na-Donu FIR
Apr,14.96,0.28,18.86,Yekaterinburg FIR
Apr,11.82,0.14,11.69,Tyumen FIR
Apr,0.84,0.02,19.84,Ashgabat FIR
Apr,1.06,0.02,17.71,Turkmenbashi FIR
Apr,0.49,0.01,21.33,Dashoguz FIR
Apr,0.81,0.02,25.19,Turkmenabat FIR
Apr,0.28,0.01,19.54,Dushanbe FIR
Apr,1.03,0.03,29.98,Samarkand FIR
Apr,2.67,0.06,22.38,Tashkent FIR
Apr,46.43,0.91,19.7,Moscow FIR
Apr,5.23,0.12,22.05,Syktyvkar FIR
Apr,14.23,0.38,26.93,Samara FIR
Apr,84.45,0.13,1.55,Mumbai FIR
Apr,8.0,0.12,14.46,Colombo FIR
Apr,5.55,0.03,6.06,Phnom Penh FIR
Apr,33.99,0.01,0.25,Kolkata FIR
Apr,4.35,0.0,0.13,Dhaka FIR
Apr,29.63,0.05,1.62,Hong Kong FIR
Apr,20.32,0.03,1.6,Delhi FIR
Apr,9.49,0.05,4.83,Vientiane FIR
Apr,0.9,0.0,0.98,Kathmandu FIR
Apr,59.97,0.26,4.4,Chennai FIR
Apr,1.21,0.01,12.33,Male FIR
Apr,44.85,0.3,6.77,Bangkok FIR
Apr,37.8,0.25,6.7,Ho Chi Minh FIR
Apr,13.97,0.02,1.11,Hanoi FIR
Apr,16.68,0.03,2.09,Yangon FIR
Apr,37.58,0.44,11.72,U-Jung Pandang FIR
Apr,7.67,0.07,8.56,Kota Kinabalu FIR
Apr,43.49,0.34,7.77,Jakarta FIR
Apr,25.76,0.16,6.09,Kuala Lumpur FIR
Apr,25.89,0.21,7.95,Singapore FIR
Apr,54.96,0.3,5.52,Brisbane FIR
Apr,66.39,0.47,7.05,Melbourne FIR
Apr,41.38,0.22,5.39,Beijing FIR
Apr,99.32,0.05,0.45,Guangzhou FIR
Apr,38.51,0.2,5.3,Wuhan FIR
Apr,16.41,0.05,3.33,Sanya FIR
Apr,1.82,0.01,5.1,Pyongyang FIR
Apr,18.8,0.31,16.46,Lanzhou FIR
Apr,14.02,0.17,11.77,Ulaanbaatar FIR
Apr,43.55,0.1,2.3,Kunming FIR
Apr,138.8,0.32,2.3,Shanghai FIR
Apr,8.82,0.32,36.17,Urumqi FIR
Apr,25.59,0.05,2.05,Shenyang FIR
May,1117.73,12.41,11.11,European Airspace
May,252.38,4.68,18.55,North Atlantic
May,755.56,6.68,8.84,Continental Europe
May,5161.62,46.79,9.06,Global
May,1337.86,12.7,9.49,USA
May,696.14,3.0,4.31,East Asia
May,320.94,3.06,9.55,Southeast Asia
May,169.73,1.89,11.13,Latin America
May,531.8,2.86,5.37,Africa & Middle East
May,732.48,2.58,3.52,China
May,196.36,0.6,3.03,India
May,2465.76,31.62,12.82,North Pacific
May,29.73,0.31,10.43,Arctic
May,0.28,0.0,14.58,Honiara FIR
May,0.09,-0.0,-6.1,Nauru FIR
May,1.74,0.04,21.69,Port Moresby FIR
May,11.2,0.24,21.33,Nuuk FIR
May,14.47,0.04,2.44,Reykjavik FIR
May,34.22,0.41,11.92,Edmonton FIR
May,16.57,0.43,25.77,Moncton FIR
May,86.06,0.62,7.21,Gander FIR
May,31.14,0.39,12.5,Montreal FIR
May,12.77,0.26,20.69,Vancouver FIR
May,25.88,0.06,2.36,Winnipeg FIR
May,25.81,0.37,14.26,Toronto FIR
May,12.36,0.06,4.66,Alger FIR
May,169.73,0.05,0.27,Accra FIR
May,3.77,0.07,18.51,Kano FIR
May,3.73,0.05,13.62,Niamey FIR
May,3.11,0.01,2.72,Tunis FIR
May,15.66,0.15,9.45,Brussels FIR
May,47.62,0.51,10.72,Langen FIR
May,30.35,0.37,12.04,Munchen FIR
May,26.14,0.38,14.62,Bremen FIR
May,4.76,0.05,11.03,Tallinn FIR
May,5.18,0.01,2.1,Helsinki FIR
May,54.85,1.67,30.52,Shanwick FIR
May,11.42,0.01,0.9,Scottish FIR
May,66.94,0.26,3.96,London FIR
