Airport,Latitude,Longitude,Flights Total,Flights Big Hit,Flights Warming,Flights Cooling,Flights No Contrail,Contrail Forcing (10^18 J),Fuel Burn (t),CO2 (Mt),CO2 Forcing 20yr (10^18 J),CO2 Forcing 100yr (10^18 J),GWP20,GWP100,Contrail CO2eq 20yr (Mt),Contrail CO2eq 100yr (Mt)
Amsterdam Airport Schiphol,52.308601,4.76389,246765,14247,0,35948,118424,14.217920787582516,3461455826.9211946,10.965892059686345,4.216031024927206,15.523461514376324,1.416385860416613,0.3846775234540574,15.531934460194547,4.218332199984656
"Andøya Airport, Andenes",69.292503,16.144199,181,0,0,3,165,0.0002260228418176531,237116.925915359,0.0007511864212998573,0.0002888068969187741,0.0010633894112490427,0.32869572914012823,0.08927077189146664,0.00024691176846932013,6.705899166382672e-05
Angers-Loire Airport,47.560299,-0.312222,182,0,0,3,165,6.808053727310623e-05,92759.93872243287,0.00029386348587266735,0.0001129810111926143,0.0004159970286589982,0.25308523399526656,0.06873564877825988,7.437250908474872e-05,2.0198897353698796e-05
Anglesey Airport,53.2481002808,-4.53533983231,573,0,0,0,571,5.6221338417011376e-05,108815.92816884392,0.0003447288604388976,0.00013253710349213157,0.0004880027241551289,0.17816114516601475,0.04838694738031537,6.141728854756927e-05,1.6680377230533018e-05
Angoulême-Brie-Champniers Airport,45.729198,0.221456,49,0,0,2,43,4.0420663359225944e-05,24093.170527959883,7.632716423257691e-05,2.934532737489509e-05,0.00010804974096195683,0.5785138599407289,0.1571191051429934,4.415632239851801e-05,1.1992455742324777e-05
Annecy-Haute-Savoie-Mont Blanc Airport,45.9308333,6.1063889,4,0,0,0,4,0.0,2502.9410077701214,7.929317112615745e-06,3.048566114942261e-06,1.122484594623092e-05,0.0,0.0,0.0,0.0
Antwerp International Airport (Deurne),51.1894,4.46028,1497,0,0,192,876,0.006029894134417265,4574843.229587707,0.014493103351333855,0.00557212974960176,0.020516628366734513,0.4545040496654359,0.12343916803413543,0.006587174165400938,0.0017890166199213912
Arad International Airport,46.17660140991211,21.261999130249023,120,0,0,11,86,8.547561693912196e-05,349697.3234661947,0.0011078411207409047,0.0004259291000049636,0.001568274510478527,0.08428576285117138,0.02289124695617041,9.337523397954382e-05,2.535986468308065e-05
Arvidsjaur Airport,65.59030151367188,19.28190040588379,362,17,0,34,121,0.020058229731289966,1128557.591884924,0.00357527045109144,0.0013745759179703378,0.005061200032694131,6.128767699918034,1.6645175912277386,0.021912002059120597,0.005951100559238434
Asturias Airport,43.563599,-6.03462,4153,41,0,337,3242,0.02968177467561816,11338682.87444425,0.035920947346239386,0.013810443111442914,0.050850167104894414,0.9026752627097382,0.24515839521321295,0.03242495058254931,0.008806321805942369
Athens Eleftherios Venizelos International Airport,37.936401,23.9445,87372,3526,0,9842,58286,2.9279809072607383,527367953.6693826,1.6707016772246042,0.6423307895279721,2.3650673421950437,1.9145150771197108,0.5199648902631941,3.198583550415693,0.8687062142606258
Aubenas-Ardèche Méridional Airport,44.544203,4.372192,11,0,0,0,10,2.998126556425345e-07,13393.719252327972,4.243130259137502e-05,1.631346425622468e-05,6.006631190576451e-05,0.007718858078952608,0.002096371682806447,3.2752120280791774e-07,8.89517812171504e-08
Augsburg Airport,48.425278,10.931667,110,0,0,5,87,0.000356890226726149,136588.46955060284,0.0004327122715363098,0.00016636388099884218,0.0006125532020041052,0.9010002310899791,0.2447034718528465,0.0003898738566496849,0.00010588619515826664
Aurillac Airport,44.89139938354492,2.4219400882720947,273,0,0,0,273,0.0,205991.04825350354,0.0006525796408670993,0.0002508957773026118,0.0009238003515744704,0.0,0.0,0.0,0.0
Auxerre-Branches Airport,47.85020065307617,3.497109889984131,26,0,0,0,25,1.7081741680203603e-05,11051.152296082775,3.5010050473990234e-05,1.3460232708768074e-05,4.9560689471614675e-05,0.5330020409685867,0.14475850885396843,1.866042835705003e-05,5.068002701516996e-06
Avignon-Caumont Airport,43.90729904174805,4.901830196380615,36,0,0,0,34,6.661758564113216e-07,71764.24851437342,0.000227349139293535,8.740839500653051e-05,0.0003218384418650496,0.0032009952782207115,0.0008693612176076705,7.277435213861484e-07,1.9764852455828346e-07
Bacău Airport,46.52190017700195,26.91029930114746,1625,45,0,352,614,0.04258506916298168,8727421.413996698,0.02764847103954154,0.010629943378983308,0.039139540474917627,1.6825798981972537,0.4569734041694814,0.04652076158702153,0.01263461593102062
Badajoz Airport,38.8913,-6.82133,478,0,0,27,416,0.0008553551855239998,565045.5775894884,0.0017900643898034992,0.0006882218941196476,0.002534038773327573,0.5219961483201875,0.14176940846423272,0.0009344067167225532,0.0002537763696553298
Banja Luka International Airport,44.94139862060547,17.297500610351562,395,13,0,37,145,0.011218960209054251,1459503.460026598,0.0046237069613642625,0.0017776658655019812,0.006545380592643279,2.650646209304475,0.7198914136633745,0.012255811330074896,0.0033285669407817045
Bardufoss Airport,69.055801391602,18.540399551392,947,13,0,143,325,0.012475268698724692,3228511.5917319665,0.01022792472260687,0.0039323064385848,0.014478785213199266,1.332452832783311,0.36188207617637647,0.013628227270131982,0.003701302633592663
Bari Karol Wojtyła Airport,41.138901,16.760599,18593,348,0,2239,11216,0.3219778456919825,58889820.95767155,0.1865629527939035,0.07172742470926935,0.2641009780090252,1.8853415654996573,0.5120416297209296,0.35173488948469667,0.0955279983941392
Barra Airport,57.0228,-7.44306,289,0,0,0,289,0.0,35215.33414088479,0.00011156217855832302,4.289205141271579e-05,0.00015792889223092008,0.0,0.0,0.0,0.0
Barrow Walney Island Airport,54.1286111,-3.2675,1028,0,0,0,1026,1.9660156789489898e-07,248689.3954741303,0.0007878480048620449,0.000302902090714213,0.0011152880327552613,0.0002726051125007406,7.403707032690569e-05,2.1477139399890175e-07,5.8329958142883546e-08
Bastia-Poretta Airport,42.55270004272461,9.48373031616211,5954,35,0,487,4480,0.038889632334653944,13880091.851974834,0.043972130987056275,0.016905862967147866,0.06224752891669508,0.9661527253766835,0.2623982970057129,0.04248379419376494,0.011538212286715702
Beja Airport / Airbase,38.078899,-7.9324,149,6,0,19,93,0.004991229802905731,1442386.5597922022,0.004569480621421697,0.0017568175906583342,0.006468617070206419,1.1932465432765003,0.3240749134580495,0.005452516956080394,0.0014808540369354705
Belfast International Airport,54.6575012207,-6.21582984924,24917,394,0,2246,17347,0.36639174436754135,79947399.86737019,0.25327336277982876,0.09737542093752323,0.35853711474903954,1.5803221300896948,0.42920112396754206,0.400253500163199,0.10870521197614154
Belgrade Nikola Tesla Airport,44.8184013367,20.3090991974,16234,575,0,2538,8239,0.5360812544821828,52998960.516475715,0.16790070691619507,0.06455239442564197,0.2376824564626148,3.487928354723886,0.9472896327034191,0.5856256364311817,0.15905059898528687
Benbecula Airport,57.48109817504883,-7.362780094146728,90,0,0,2,86,1.3913892494061212e-05,32120.441495708823,0.00010175755865840556,3.91224919951436e-05,0.000144049342910989,0.14937276613747208,0.0405682853486998,1.5199808012202111e-05,4.128129676041254e-06
"Bergen Airport, Flesland",60.2934,5.21814,25337,298,0,2182,16804,0.2994997566871708,57918533.4637964,0.183485914013307,0.0705444027632855,0.2597450813041475,1.7831308067162275,0.48428211682406624,0.3271793858756125,0.08885894684576293
Bergerac-Roumanière Airport,44.82529830932617,0.5186110138893127,1104,5,0,114,771,0.008523543198762017,2741634.6286988016,0.008685498503717805,0.003339293416287783,0.012295306302649578,1.0720495916946788,0.2911589231988957,0.009311285124575415,0.002528860391788096
Berlevåg Airport,70.871399,29.034201,4,0,0,0,4,0.0,1930.7338809943453,6.116564934990086e-06,2.3516214997868273e-06,8.6586900410561e-06,0.0,0.0,0.0,0.0
Berlin Brandenburg Airport,52.351389,13.493889,123120,3619,0,16535,68708,3.3481472323172743,507098523.7952232,1.606488123383267,0.6176427537765373,2.27416578796382,2.2767559871381975,0.6183462283250332,3.6575814531792608,0.9933658719430037
Bern Belp Airport,46.914100647,7.497149944309999,97,0,0,13,66,9.005654502493552e-05,274771.2513504467,0.0008704753242782153,0.0003346696241049355,0.001232256356537001,0.11301817131337052,0.030694707890790405,9.837952932333709e-05,2.6718985804860873e-05
Biarritz-Anglet-Bayonne Airport,43.4683333,-1.5311111,4011,17,0,319,2899,0.02801495349504745,9552009.821973437,0.03026076711601185,0.011634286778019962,0.04283754127471786,1.0113452326230548,0.2746721711328523,0.03060408255829509,0.008311790603900596
Bilbao Airport,43.301102,-2.91061,21959,366,0,2463,15012,0.3367093988040024,65634099.32490685,0.20792882666130488,0.07994191256026706,0.29434679101688294,1.7690088086279905,0.48044671052510185,0.3678279259315309,0.09989872079276803
Billund Airport,55.7402992249,9.15178012848,18991,458,0,2347,10665,0.43113025863948173,60077270.695631355,0.19032479356376014,0.07317373088392681,0.26942628944709457,2.4745862544007142,0.6720751304565576,0.47097511802453434,0.1279125604634815
Birmingham International Airport,52.4538993835,-1.74802994728,52883,1714,0,6325,31980,1.463352213575518,331936103.79942405,1.0515735768365755,0.404296048219855,1.488621432776035,1.5201927706389442,0.41287053657125866,1.5985945493018983,0.4341637469126746
Blackbushe Airport,51.32389831542969,-0.8475000262260437,12,0,0,3,5,-5.095322360944608e-06,9939.760815439267,3.14891622633116e-05,1.2106565004332715e-05,4.457647365612046e-05,-0.17676652219938985,-0.04800818046097065,-5.56622970025786e-06,-1.5117373845018502e-06
Blackpool International Airport,53.77170181274414,-3.0286099910736084,98,1,0,2,73,0.0015955556838079797,127114.61738561523,0.00040269910787762905,0.0001548247897463942,0.0005700661714511586,4.32833390761933,1.1755361408193405,0.001743016203194796,0.0004733873551858594
Bodø Airport,67.269203,14.3653,8678,72,0,627,5260,0.09359559496664212,17460077.56535019,0.055313525727029404,0.02126626263453622,0.07830255698071914,1.8484747678301667,0.502028942626602,0.10224565662613863,0.02776899083368992
Bologna Guglielmo Marconi Airport,44.5354,11.2887,34535,826,0,4713,19100,0.7539231250735833,135582815.0413314,0.429526358050938,0.16513900024824268,0.6080431808303497,1.9174617265146883,0.5207651734511483,0.8236003520919176,0.2236823683522367
Bolzano Airport,46.460201,11.3264,183,1,0,19,149,0.000735366550094741,98124.63256034917,0.0003108588359511862,0.00011951517392379332,0.0004400558705143855,2.5842237508412644,0.7018516777852978,0.0008033287870239238,0.00021817679556672466
Bordeaux-Mérignac Airport,44.8283,-0.715556,30060,293,0,2879,20954,0.3014684046253659,85789561.8815103,0.27178133204062466,0.10449113684893321,0.384737240280591,1.2117461227903783,0.32909923107602324,0.32932997534703135,0.08944302739538694
Bornholm Airport,55.06330108642578,14.759599685668944,1785,2,0,15,1748,0.0014313592771898467,901660.8515965173,0.0028564615778577667,0.0010982171416800655,0.004043644705767606,0.5474062219608568,0.14867055346436903,0.0015636448405114678,0.000424671723729819
Boryspil International Airport,50.345001220703125,30.894699096679688,23220,1062,0,4116,8061,0.9570260272236653,116683488.65932846,0.3696532920727526,0.14211974177409326,0.5232860784987534,2.8282554303599947,0.7681284634727712,1.0454739306552117,0.283941215257495
Bourges Airport,47.058101654052734,2.3702800273895264,44,0,0,1,41,-8.197195271349815e-06,212225.71506406213,0.0006723310653229488,0.0002584895615418805,0.0009517607286897693,-0.013318998235095523,-0.003617318838849807,-8.954776272436249e-06,-2.432035828536663e-06
Bournemouth Airport,50.779999,-1.8425,3197,89,0,644,1622,0.06951851116190515,14595156.295516673,0.046237455144196825,0.01777680687905564,0.06545435168857307,1.6424645262024269,0.4460784338208863,0.0759433798562192,0.0206255315745868
Bragança Airport,41.8578,-6.70713,30,0,0,0,29,3.5757062565445543e-06,7642.38169475311,2.4211065208977855e-05,9.308371951137546e-06,3.42735034184144e-05,0.16133827006828866,0.04381800743900112,3.906171377327017e-06,1.0608806354331329e-06
Braunschweig-Wolfsburg Airport,52.319199,10.5561,578,15,0,5,506,0.014337439132402938,581381.2340972834,0.0018418157496201942,0.0007081186191085307,0.0026072986812364315,8.503835760158577,2.3095644848612493,0.01566249863524348,0.0042537922429808995
Brač Airport,43.285702,16.679701,126,0,0,15,95,0.0003233554190508387,172490.15644854805,0.0005464488156290002,0.00021009190567324336,0.0007735601547801429,0.6464279314624185,0.17556394956763413,0.0003532397775371431,9.59367123083832e-05
Bremen Airport,53.047501,8.78667,9378,205,0,709,6446,0.20729679507325027,28098817.687137656,0.0890170544328521,0.03422417995670777,0.12601371699540936,2.543951499813829,0.6909141005176194,0.22645506913346336,0.06150313809420197
Brescia Airport,45.428902,10.3306,761,7,0,6,494,0.016016896396739578,2355358.750271882,0.007461776520861322,0.0028688118706436125,0.010562989314503678,2.344906808100111,0.6368553717453711,0.017497170564289274,0.004752072460074018
Brest Airport,52.108299,23.8981,25,0,0,2,17,0.00012670228239838435,34342.10264085791,0.00010879578116623786,4.182846103914409e-05,0.00015401274357509126,1.272218897977661,0.3455230870643874,0.00013841204881992993,3.7591454168140046e-05
Brest Bretagne Airport,48.447898864746094,-4.418540000915527,4245,41,0,362,3138,0.04907248496773076,10896323.009919016,0.03451955129542344,0.013271651629975472,0.048866332361415965,1.552967502544746,0.4217718558047662,0.053607741364218996,0.014559375211418568
Brindisi Airport,40.6576,17.947001,9078,68,0,1400,5449,0.07780606135634538,28311522.31452087,0.08969090269240212,0.03448325283038672,0.1269676254842691,0.9476642453193583,0.2573769938992348,0.08499686161200726,0.023084374915079243
Bristol Airport,51.382702,-2.71909,31097,716,0,4434,17535,0.6298441203172679,129165311.38439482,0.4091957064657628,0.1573225219012421,0.579262842146833,1.6814790872683303,0.4566744339285578,0.6880540230221704,0.18686921761624853
Brive-Souillac,45.039722,1.485556,621,1,0,25,542,0.001094808307517427,833138.5947845915,0.0026393830682775858,0.001014757471800625,0.003736345502864226,0.45313240053448217,0.12306664059970594,0.0011959899856586894,0.00032482000746866677
Brno-Tuřany Airport,49.15129852294922,16.694400787353516,1404,36,0,147,778,0.03385483254688415,6209750.460597126,0.019672489459171695,0.007563436284616649,0.027848635692312346,1.8799695184332517,0.5105826305744854,0.036983680534942234,0.01004443141801272
Brussels Airport,50.9014015198,4.48443984985,118275,5073,0,16322,58624,4.907714173241274,1042405980.7735434,3.302342147090586,1.269643807478519,4.67483912377028,1.6234789163859322,0.4409221147911792,5.3612828504942165,1.4560756832592243
Brussels South Charleroi Airport,50.459202,4.45382,24098,851,0,4338,10417,0.7842252237014614,112140973.60140765,0.35526260436925944,0.13658698753050452,0.502914431074661,2.4114639315919697,0.6549316814210008,0.8567029566798968,0.23267273482556283
"Brønnøysund Airport, Brønnøy",65.461098,12.2175,412,0,0,0,409,3.5705738281965474e-05,129342.21444014795,0.0004097561353463887,0.00015753798869000163,0.0005800561926661149,0.0951923418797416,0.025853374669611632,3.90056461232151e-05,1.0593578890282283e-05
Budapest Liszt Ferenc International Airport,47.42976,19.261093,55242,2949,0,9206,23082,2.6811342616035234,302893942.24292725,0.9595680090255937,0.3689228814728317,1.358377136803732,3.0523354511867185,0.8289865600382108,2.9289234517734766,0.7954689829248417
Burgas Airport,42.56959915161133,27.515199661254883,7248,464,0,906,3286,0.39568129523934353,45364519.29361923,0.14371479712218574,0.055253693918412033,0.2034445633816008,3.0076929199686786,0.8168620544005842,0.43224997779913304,0.11739516442499182
Burgos Airport,42.357601,-3.62076,106,1,0,1,100,0.0004080497694274786,126378.88348099763,0.0004003683028678005,0.0001539286705632938,0.0005667666531200778,1.1133787002277205,0.3023835333573012,0.0004457615406593301,0.00012106478206543164
Bydgoszcz Ignacy Jan Paderewski Airport,53.096802,17.977699,1670,52,0,202,827,0.04757208993508215,5566305.049623978,0.017634054397208766,0.006779723895623742,0.024963000117777797,2.9470636386286486,0.8003956927639171,0.05196868051561358,0.014114221185490508
Båtsfjord Airport,70.60050201416,29.691400527954,6,0,0,0,6,0.0,656.0100411761231,2.078239810445958e-06,7.990160280977278e-07,2.941983701782429e-06,0.0,0.0,0.0,0.0
Béziers-Vias Airport,43.32350158691406,3.353899955749512,888,25,0,123,465,0.02058791335829769,3187298.1494101896,0.010097360537331481,0.0038821087298284793,0.014293956829493984,2.227378008257659,0.604935618151796,0.02249063880230088,0.00610825303835217
Băneasa International Airport,44.503201,26.1021,11,0,0,0,6,6.171046836702797e-05,56468.64238958839,0.00017889265909021605,6.877844472213868e-05,0.0002532428090187533,0.3768389474182023,0.10234603231017084,6.74137213524003e-05,1.830895386729963e-05
