Aircraft class,Flight distance,Contrail warming,Contrail warming per flight distance
Narrow-body,6792265738.33,1.7195055197797122e+20,25315639670.518597
Wide-body,4198372454.13,1.1694231814756536e+20,27854202890.581444
Regional,712147377.76,4.122325483890364e+18,5788584796.67059
Business,314399530.13,2.1672274962212406e+18,6893227529.077798
General Aviation,37486802.11,2.1651960769248732e+16,577588899.3068535
Cargo / Freighter,25431850.78,7.32452834142174e+17,28800610717.572556
