Date,Departure airport,Number of big hits
2019-02-13,Frankfurt am Main Airport,66
2019-02-13,London Heathrow Airport,169
2019-02-14,Charles de Gaulle International Airport,60
2019-02-14,Frankfurt am Main Airport,60
2019-02-14,London Heathrow Airport,118
2019-02-15,Charles de Gaulle International Airport,46
2019-02-15,Frankfurt am Main Airport,48
2019-02-15,London Heathrow Airport,90
2019-02-16,Charles de Gaulle International Airport,84
2019-02-16,Frankfurt am Main Airport,79
2019-02-16,London Heathrow Airport,257
2019-02-17,Charles de Gaulle International Airport,100
2019-02-17,Frankfurt am Main Airport,100
2019-02-17,London Heathrow Airport,167
2019-02-18,Charles de Gaulle International Airport,75
2019-02-18,Frankfurt am Main Airport,64
2019-02-18,London Heathrow Airport,136
2019-02-19,Charles de Gaulle International Airport,62
2019-02-19,Frankfurt am Main Airport,60
2019-02-19,London Heathrow Airport,186
2019-02-20,Charles de Gaulle International Airport,53
2019-02-20,Frankfurt am Main Airport,55
2019-02-20,London Heathrow Airport,121
2019-02-21,Charles de Gaulle International Airport,34
2019-02-21,Frankfurt am Main Airport,33
2019-02-21,London Heathrow Airport,57
2019-02-22,Charles de Gaulle International Airport,47
2019-02-22,Frankfurt am Main Airport,41
2019-02-22,London Heathrow Airport,96
2019-02-23,Charles de Gaulle International Airport,60
2019-02-23,Frankfurt am Main Airport,48
2019-02-23,London Heathrow Airport,68
2019-02-24,Charles de Gaulle International Airport,47
2019-02-24,Frankfurt am Main Airport,34
2019-02-24,London Heathrow Airport,102
2019-02-25,Charles de Gaulle International Airport,48
2019-02-25,Frankfurt am Main Airport,54
2019-02-25,London Heathrow Airport,113
2019-02-26,Charles de Gaulle International Airport,33
2019-02-26,Frankfurt am Main Airport,37
2019-02-26,London Heathrow Airport,42
2019-02-27,Charles de Gaulle International Airport,34
2019-02-27,Frankfurt am Main Airport,31
2019-02-27,London Heathrow Airport,34
2019-02-28,Charles de Gaulle International Airport,29
2019-02-28,Frankfurt am Main Airport,48
2019-02-28,London Heathrow Airport,60
2019-03-01,Charles de Gaulle International Airport,43
2019-03-01,Frankfurt am Main Airport,45
2019-03-01,London Heathrow Airport,68
2019-03-02,Charles de Gaulle International Airport,44
