fir_code,fir_name,n_total,n_big_hit,n_warming,n_cooling,n_no_contrail,total_contrail_energy_forcing,total_fuel_burn,total_co2,total_co2_forcing_20,total_co2_forcing_100,gwp20,gwp100
LIBB,Brindisi FIR,31042,431,0,4100,18696,4.705810086576691e+17,106774465.63435522,338261507.12963736,1.3005061520165805e+17,4.7884745346217197e+17,1.519746933374762,0.4127494512233728
LIMM,Milano FIR,359566,8851,0,47355,199736,9.717322995507718e+18,2095246797.6450217,6637741854.939429,2.5519971784842593e+18,9.396474966803968e+18,1.5992477156801899,0.4343411409631424
LIRR,Roma FIR,317531,8291,0,39807,196371,8.395277208786797e+18,2186012187.48982,6925286609.967751,2.662548841919944e+18,9.803527116692683e+18,1.324301125363721,0.3596681465476469
LJLA,Ljubljana FIR,7730,172,0,862,4529,1.8322883838493994e+17,22469907.668635383,71184667.4942369,2.7368203610004724e+16,1.0076995471466174e+17,2.811880283349788,0.7636811224097719
LKAA,Praha FIR,73766,2687,0,9259,38096,2.908192633288303e+18,410133960.17376477,1299304385.8304868,4.9954053638952237e+17,1.8393124352417562e+18,2.4451287072900425,0.664074728457182
LMMM,Malta FIR,27744,681,0,4161,15590,6.333700289124982e+17,146386927.08146152,463753784.9940701,1.7829833950767018e+17,6.564959781035555e+17,1.4919679727685045,0.4052049380587188
LOVV,Wien FIR,146850,4585,0,20479,76326,5.025710922852962e+18,893470313.1851012,2830513952.1704006,1.0882411183592357e+18,4.0069129044189435e+18,1.939642375194148,0.5267892359902289
LPPC,Lisboa FIR,196495,9699,0,27232,100792,9.252552109731535e+18,1519533306.3002348,4813881514.359144,1.8507818337436946e+18,6.814594199558373e+18,2.099692041080087,0.5702572702478873
LPPO,Santa Maria FIR,8939,342,0,1376,4509,3.147946433412814e+17,53650935.45722781,169966163.52849773,6.534649572726996e+16,2.4060634410040822e+17,2.023272231079465,0.5495023445772637
LQSB,Sarajevo FIR,3778,111,0,571,2054,1.0403490847916146e+17,11358099.186204307,35982458.22189525,1.3834092054795998e+16,5.0937242712219576e+16,3.158476999298249,0.8578136395821381
LRBB,Bucarest FIR,86188,3939,0,13471,42421,4.024056810646498e+18,391200979.4681335,1239324702.9550471,4.764802871647656e+17,1.7544044046234045e+18,3.5470593558618635,0.9633490750579379
LSAS,Switzerland FIR,214098,7014,0,27239,123269,7.002576485385794e+18,1833822945.1802657,5809551090.331082,2.233584600725688e+18,8.224077190956509e+18,1.3167542984073584,0.3576184969538166
LUUU,Chisinau FIR,5819,355,0,1108,2164,3.637810916243465e+17,28735231.116479762,91033212.17700788,3.499932743711724e+16,1.2886781650486683e+17,4.365456986473169,1.1856184315535083
LWSS,Skopje FIR,5315,278,0,916,2332,2.6252564875607088e+17,22710812.47954217,71947853.93518959,2.766162412657986e+16,1.0185033151209322e+17,3.9860556261264852,1.0825764711866248
LYBA,Beograd FIR,21932,635,0,3416,11175,6.671879265603964e+17,73132158.49180144,231682678.10202697,8.907450059692702e+16,3.279730565911958e+17,3.1458939121465446,0.8543961875034364
LZBB,Bratislava  FIR,12508,320,0,1444,6920,3.3104388933942234e+17,49914436.45619214,158128934.6932167,6.079546387805302e+16,2.2384940674764294e+17,2.2869869666830493,0.6211248693605099
UHHH,Khabarovsk FIR,3,1,0,0,0,1423507060910344.8,39811.768879006784,126123.6838086935,48490479481408.484,178542351228617.0,12.329697952596499,3.348633875762004
UIII,Irkutsk FIR,1,1,0,0,0,3123178123397883.0,53693.10120383978,170099.74461376443,65397853336551.77,240795443247554.66,20.057765582558716,5.447506788899469
UKBV,Kiev FIR,29561,1358,0,5291,10360,1.413286036850796e+18,144059706.5735831,456381150.4251113,1.7546379983602304e+17,6.460591793125535e+17,3.3829207849827454,0.9187705313759954
UKDV,Dnipro FIR,1637,106,0,250,537,1.2092450925954763e+17,7450024.888003851,23601678.845196202,9074082592653336.0,3.341084803989513e+16,5.597072031296014,1.5201138812269854
UKLV,Lvov FIR,4080,95,0,467,2331,1.0258145166866128e+17,11734255.988506058,37174122.971587196,1.4292248630537184e+16,5.262417905804486e+16,3.0145158270464814,0.8187150939364874
UKOV,Odessa FIR,1648,37,0,200,710,4.8340290748070056e+16,5341777.306823265,16922750.508016102,6506250543098930.0,2.39560689453015e+16,3.120525712881498,0.8475064152030433
ULAA,Arkhangelsk FIR,1,0,0,0,1,0.0,686.3396402910971,2174.3239804421955,835957285544.3295,3078001720832.6777,0.0,0.0
ULLL,Sankt-Peterburg FIR,15472,981,0,3268,5247,9.441011252154842e+17,85492507.97987634,270840265.2802483,1.0412932709951389e+17,3.834050537555323e+17,3.807980745055198,1.0342129523502186
ULMM,Murmansk FIR,31,0,0,3,21,352424174631558.56,117771.97888686419,373101.6291135858,143445515898936.7,528167589920771.1,1.0318771724418316,0.2802484593336338
UMKK,Kaliningrad FIR,364,3,0,19,317,1742119912214997.0,524829.6120030497,1662660.2108256614,639239105637658.4,2353683736239077.0,1.1446270365459223,0.31087029742554023
UMMV,Minsk FIR,7339,59,0,1496,3113,8.731295020228302e+16,27961053.060469676,88580616.09556794,3.405638352387381e+16,1.2539588912556046e+17,1.076786061539737,0.2924453053499968
UNKL,Krasnoyarsk FIR,77,22,0,9,2,3.8711249218564856e+16,4363742.537218433,13824336.357907996,5315010458495828.0,1.956991298525661e+16,3.059020259463145,0.8308020931951041
UNNT,Novosibirsk FIR,871,310,0,219,57,3.9811513166744755e+17,32201379.395207077,102013969.92401603,3.922107383828693e+16,1.444123220823954e+17,4.263227365720469,1.1578537959172637
URRV,Rostov-Na-Donu FIR,989,15,0,177,502,1.6218675189084314e+16,5747389.732489367,18207730.672526315,7000283879420688.0,2.577510382380839e+16,0.9730810488187129,0.26427996666780956
USSV,Yekaterinburg FIR,1126,112,0,329,242,1.0822545396009978e+17,11634177.558210738,36857074.50441162,1.4170353743487196e+16,5.217536106388591e+16,3.207731541926625,0.8711907255914356
USTV,Tyumen FIR,34,9,0,4,7,8765388764942283.0,441692.3458480556,1399281.3516466403,537978447994412.44,1980841147427125.5,6.843142685362733,1.8585353429564693
UUWV,Moscow FIR,87901,9681,0,17190,21638,9.22297875150916e+18,699675657.0246923,2216572481.454225,8.522004685023496e+17,3.137809256410325e+18,4.545469310104195,1.2345081421760258
UWWW,Samara FIR,917,55,0,205,274,5.48104406734669e+16,7307661.389524916,23150671.282014936,8900684763411578.0,3.277239578159912e+16,2.5863611277962533,0.7024321699355731
