,time,file,region_id,area_km2,pt in mask,vol_km3,thickness_m,std_thickness,mean_FL,mean_lat,mean_lon,mean_forcing,max_forcing,std_forcing,min_lat,max_lat,min_lon,max_lon,min_FL,max_FL,area_by_FL
254544,2024-02-17 15:00:00,20240217T15.nc,82,1887.3708,3,575.2706349609375,304.8,0.0,350.0,35.499996,-63.999996,609927940.0,689943940.0,64086370.0,35.5,35.5,-64.25,-63.75,350,350,{350: 1887.370849609375}
1827360,2024-10-16 14:00:00,20241016T14.nc,131,578.77014,1,176.40913916015626,304.8,0.0,330.0,41.5,35.5,561496260.0,561496260.0,0.0,41.5,41.5,35.5,35.5,330,330,{330: 578.7701416015625}
1383539,2024-09-11 20:00:00,20240911T20.nc,68,1351411.0,2033,3295280.5824000007,2438.4000000000005,698.3845359112701,385.0,30.539692,-30.640322,1294496100.0,3785338000.0,607780400.0,25.25,34.25,-35.5,-23.25,350,420,"{350: 75038.59375, 360: 356754.25, 370: 405116.5625, 380: 350317.96875, 390: 78707.328125, 400: 68815.421875, 410: 15963.40625, 420: 697.4903564453125}"
249199,2024-02-16 19:00:00,20240216T19.nc,124,611.02075,1,186.2391251953125,304.8,0.0,370.0,37.75,-25.499998,1152126100.0,1152126100.0,0.0,37.75,37.75,-25.5,-25.5,370,370,{370: 611.020751953125}
2536515,2024-12-17 16:00:00,20241217T16.nc,281,5170.7456,9,1576.043260546875,304.8,0.0,290.0,41.971684,-34.166805,614728700.0,712332740.0,64479830.0,41.75,42.25,-34.5,-33.75,290,290,{290: 5170.74560546875}
1410705,2024-09-13 15:00:00,20240913T15.nc,189,1290.658,2,393.3925458984375,304.8,0.0,380.0,33.37482,-55.749996,565705200.0,629887200.0,64182016.0,33.25,33.5,-55.75,-55.75,380,380,{380: 1290.657958984375}
1199220,2024-08-10 09:00:00,20240810T09.nc,97,2708.942,6,825.685489453125,304.8,0.0,320.0,54.25,-80.87499,550050240.0,575405250.0,18411246.0,54.25,54.25,-81.5,-80.25,320,320,{320: 2708.94189453125}
1565537,2024-09-25 09:00:00,20240925T09.nc,303,1102.3563,2,335.99820732421875,304.8,0.0,360.0,44.5,-57.874996,776385300.0,931959100.0,155573860.0,44.5,44.5,-58.0,-57.75,360,360,{360: 1102.3563232421875}
2325971,2024-11-29 06:00:00,20241129T06.nc,393,446.00015,1,135.9408465087891,304.8,0.0,330.0,54.75,53.749996,685233340.0,685233340.0,0.0,54.75,54.75,53.75,53.75,330,330,{330: 446.0001525878906}
629863,2024-04-26,20240426T00.nc,205,1132.8838,4,690.6059578125013,609.600000000001,152.40000000000057,285.0,68.5,64.49999,541187600.0,572893630.0,24793364.0,68.5,68.5,64.25,64.75,280,290,"{280: 566.44189453125, 290: 566.44189453125}"
1710613,2024-10-07 07:00:00,20241007T07.nc,345,398.0057,1,121.31213942871096,304.8,0.0,290.0,58.999996,-10.0,537482900.0,537482900.0,0.0,59.0,59.0,-10.0,-10.0,290,290,{290: 398.0057067871094}
2303649,2024-11-27 14:00:00,20241127T14.nc,209,562.86285,1,171.56059790039063,304.8,0.0,330.0,43.25,-58.999996,519245120.0,519245120.0,0.0,43.25,43.25,-59.0,-59.0,330,330,{330: 562.8628540039062}
707087,2024-05-09 04:00:00,20240509T04.nc,22,688.54266,1,209.86780385742188,304.8,0.0,330.0,27.0,-22.25,501478180.0,501478180.0,0.0,27.0,27.0,-22.25,-22.25,330,330,{330: 688.5426635742188}
273432,2024-02-21 08:00:00,20240221T08.nc,133,440.47607,1,134.257107421875,304.8,0.0,300.0,55.25,20.499998,645372800.0,645372800.0,0.0,55.25,55.25,20.5,20.5,300,300,{300: 440.47607421875}
