Cumulative Fraction (%),Cumulative Volume (%),ISSR Thickness (ft)
0.00012233388587471787,1.3041860989028638e-07,1000.000032
73.76782251799837,0.33125526913034475,1000.000032
73.76794485188425,0.3312664712903778,2000.0000639999973
85.37131392710123,1.1596539094625282,2000.0000640000035
85.37143626098711,1.1596661706334093,3000.0000959999948
91.17887049123172,3.025048084234588,3000.0000960000016
91.17899282511759,3.025129313120229,4000.0001279999988
94.39356034424755,6.049597435558955,4000.0001280000047
94.39368267813343,6.049882570828323,5000.000159999996
96.48816113819447,10.880103890977374,5000.000160000003
96.48828347208035,10.880516008717954,6000.0001919999995
97.85340730455633,18.111581790920603,6000.000192000005
97.85352963844221,18.113044538954355,7000.0002239999985
98.70362781138562,26.878031746649423,7000.000224000004
98.70375014527148,26.87981821407348,8000.000256000002
99.23027519007628,36.833395548986466,8000.000256000002
99.23039752396215,36.83721263499904,9000.000288
99.55996501250864,47.29709809466142,9000.000288000005
99.56008734639451,47.30607907268667,10000.000319999997
99.72658376507,56.396620942416845,10000.000320000003
99.72670609895587,56.40001418490391,11000.000352000001
99.84243395499335,66.342399136107,11000.000352000006
99.84255628887924,66.35889763316145,12000.000383999999
99.91314294102895,77.38903492816456,12000.000384000003
99.91326527491482,77.40395817258555,13000.000416000003
99.95131111342187,85.2338777534479,13000.000416000003
99.95143344730774,85.28198431181951,14000.000447999999
99.98189458489054,93.84131632134093,14000.000448000006
99.98201691877642,93.88303820172118,15000.000480000002
99.998042657826,99.0904096731469,15000.000480000002
99.99816499171187,99.1442688303861,16000.000512000006
