week,region,+80th-percentile,+95th-percentile,Negative,Non-zero,Positive
2,Budapest FIR,0.0091,0.0008,0.0113,0.0562,0.045
2,Canarias FIR,0.0372,0.0107,0.0236,0.1088,0.0852
2,Chisinau FIR,0.0268,0.0035,0.0074,0.0744,0.0671
2,Copenhagen FIR,0.0124,0.0023,0.0126,0.0651,0.0524
2,Helsinki FIR,0.0958,0.0186,0.0119,0.2445,0.2327
2,Langen FIR,0.0294,0.0094,0.0186,0.0894,0.0708
2,Lisboa FIR,0.0493,0.0149,0.0456,0.1655,0.1199
2,Ljubljana FIR,0.0203,0.0049,0.0479,0.1064,0.0585
2,London FIR,0.0121,0.0038,0.0029,0.0329,0.03
2,Madrid FIR,0.027,0.0053,0.0445,0.1348,0.0903
2,Malta FIR,0.0025,0.0002,0.0107,0.0234,0.0127
2,Marseille FIR,0.0279,0.0048,0.0247,0.1027,0.078
2,Milano FIR,0.0293,0.0041,0.0303,0.1146,0.0842
2,Munchen FIR,0.0208,0.0037,0.0249,0.086,0.0611
2,Paris FIR,0.0069,0.002,0.0052,0.0344,0.0291
2,Polaris FIR,0.0448,0.0093,0.0152,0.221,0.2058
2,Praha FIR,0.0246,0.0018,0.0171,0.0829,0.0659
2,Reims FIR,0.0164,0.001,0.0157,0.0623,0.0466
2,Reykjavik FIR,0.0837,0.0282,0.0078,0.2284,0.2207
2,Riga FIR,0.0586,0.0194,0.0137,0.1588,0.1451
2,Roma FIR,0.0172,0.0025,0.0238,0.0774,0.0536
2,Santa Maria FIR,0.0227,0.0051,0.026,0.1071,0.0811
2,Sarajevo FIR,0.0181,0.0095,0.0276,0.0731,0.0455
2,Scottish FIR,0.0184,0.0087,0.0097,0.0575,0.0478
2,Shannon FIR,0.0017,0.0003,0.0007,0.0068,0.0061
2,Skopje FIR,0.0163,0.0063,0.0181,0.0578,0.0397
2,Sofia FIR,0.0194,0.0016,0.0269,0.0903,0.0634
2,Sweden FIR,0.0563,0.0126,0.0169,0.2136,0.1967
2,Switzerland FIR,0.0146,0.0011,0.018,0.0685,0.0505
2,Tallinn FIR,0.0739,0.0209,0.0187,0.1979,0.1792
2,Tirana FIR,0.015,0.0063,0.0085,0.0448,0.0363
2,Vilnius FIR,0.0508,0.0132,0.011,0.126,0.115
2,Warszawa FIR,0.0188,0.0025,0.0106,0.0676,0.057
2,Wien FIR,0.0153,0.0026,0.0246,0.0912,0.0666
2,Zagreb FIR,0.0226,0.0055,0.0287,0.087,0.0582
3,Global,0.02,0.0047,0.0174,0.0746,0.0572
3,Europe,0.036,0.006,0.0344,0.1623,0.1279
3,European Airspace,0.0385,0.0078,0.0234,0.1368,0.1134
3,Africa Middle East,0.0124,0.0035,0.0113,0.0483,0.0371
3,East Asia,0.0039,0.0006,0.0064,0.0234,0.017
3,Southeast Asia,0.0533,0.0188,0.0397,0.1649,0.1253
3,India,0.0024,0.0009,0.0036,0.0137,0.0101
3,China,0.0062,0.0006,0.0095,0.0341,0.0247
3,Latin America,0.01,0.0023,0.0117,0.0446,0.0328
3,USA,0.0226,0.0035,0.0278,0.1139,0.0861
3,North Atlantic,0.0418,0.0081,0.0247,0.1517,0.127
3,North Pacific,0.0271,0.0051,0.0125,0.091,0.0786
3,Amsterdam FIR,0.0577,0.0062,0.0267,0.1934,0.1667
3,Athinai FIR,0.0232,0.0056,0.0278,0.098,0.0702
3,Barcelona FIR,0.0202,0.004,0.0457,0.1356,0.0898
3,Beograd FIR,0.0398,0.0093,0.0408,0.1645,0.1237
3,Bordeaux FIR,0.0329,0.0031,0.0379,0.1852,0.1474
3,Bratislava  FIR,0.0298,0.0047,0.0192,0.1677,0.1485
3,Bremen FIR,0.042,0.0034,0.0304,0.1674,0.1369
3,Brest FIR,0.0647,0.0082,0.0587,0.2554,0.1967
3,Brindisi FIR,0.0226,0.0064,0.0275,0.118,0.0905
3,Brussels FIR,0.0476,0.0049,0.0251,0.2388,0.2137
3,Bucarest FIR,0.0491,0.0104,0.0376,0.1904,0.1528
3,Budapest FIR,0.0342,0.0056,0.0179,0.1465,0.1286
3,Canarias FIR,0.0082,0.0014,0.0115,0.0394,0.0279
3,Chisinau FIR,0.0659,0.0237,0.0315,0.1747,0.1432
3,Copenhagen FIR,0.0289,0.0039,0.0227,0.1307,0.108
3,Helsinki FIR,0.0638,0.022,0.0116,0.1539,0.1423
3,Langen FIR,0.0401,0.0066,0.035,0.2116,0.1767
3,Lisboa FIR,0.0354,0.0118,0.0217,0.1082,0.0865
3,Ljubljana FIR,0.0348,0.0075,0.0297,0.15,0.1203
3,London FIR,0.0575,0.0081,0.0379,0.2085,0.1705
3,Madrid FIR,0.035,0.0061,0.0405,0.1731,0.1326
3,Malta FIR,0.0131,0.0013,0.0378,0.096,0.0583
3,Marseille FIR,0.0241,0.0048,0.0338,0.1352,0.1014
3,Milano FIR,0.0346,0.0069,0.0281,0.1419,0.1138
3,Munchen FIR,0.0426,0.0096,0.0369,0.1863,0.1494
3,Paris FIR,0.0597,0.0038,0.034,0.2451,0.2111
3,Polaris FIR,0.044,0.0142,0.0123,0.1698,0.1575
3,Praha FIR,0.0457,0.0091,0.0294,0.1848,0.1553
3,Reims FIR,0.0401,0.0052,0.0328,0.2218,0.1889
3,Reykjavik FIR,0.0509,0.0111,0.009,0.139,0.13
3,Riga FIR,0.0515,0.0069,0.0128,0.1185,0.1057
3,Roma FIR,0.018,0.0039,0.034,0.1161,0.0821
3,Santa Maria FIR,0.0195,0.0053,0.0188,0.0765,0.0577
3,Sarajevo FIR,0.0326,0.0081,0.0327,0.1491,0.1165
3,Scottish FIR,0.0374,0.0054,0.0188,0.1639,0.1451
3,Shannon FIR,0.0371,0.0035,0.0323,0.1838,0.1516
3,Skopje FIR,0.0353,0.0117,0.0404,0.1627,0.1223
3,Sofia FIR,0.0592,0.0147,0.0526,0.205,0.1524
3,Sweden FIR,0.0311,0.0082,0.0121,0.1191,0.107
3,Switzerland FIR,0.0292,0.0079,0.0349,0.1579,0.123
3,Tallinn FIR,0.0655,0.0145,0.0133,0.1308,0.1175
3,Tirana FIR,0.0282,0.0101,0.0232,0.112,0.0889
3,Vilnius FIR,0.0364,0.0031,0.0059,0.1213,0.1153
3,Warszawa FIR,0.042,0.0067,0.0162,0.1501,0.1339
3,Wien FIR,0.0326,0.0036,0.0397,0.1768,0.1371
3,Zagreb FIR,0.0298,0.0066,0.0266,0.1356,0.109
4,Global,0.0203,0.0049,0.0162,0.0732,0.057
4,Europe,0.0496,0.0119,0.0428,0.1895,0.1468
4,European Airspace,0.0388,0.0085,0.0206,0.127,0.1064
4,Africa Middle East,0.0131,0.0045,0.0083,0.0399,0.0316
4,East Asia,0.0034,0.0008,0.0042,0.0165,0.0123
4,Southeast Asia,0.0349,0.0122,0.0288,0.1126,0.0838
4,India,0.0088,0.0035,0.0107,0.0412,0.0305
4,China,0.0072,0.0017,0.0095,0.0352,0.0257
4,Latin America,0.0117,0.0029,0.0126,0.0494,0.0369
4,USA,0.0247,0.0036,0.0203,0.1129,0.0926
4,North Atlantic,0.0418,0.0095,0.0265,0.1415,0.1151
4,North Pacific,0.0331,0.0065,0.0172,0.1041,0.087
4,Amsterdam FIR,0.064,0.0159,0.0464,0.2361,0.1897
4,Athinai FIR,0.0011,0.0,0.0048,0.0142,0.0094
4,Barcelona FIR,0.0392,0.0097,0.058,0.1728,0.1148
4,Beograd FIR,0.0164,0.0016,0.0112,0.0686,0.0575
4,Bordeaux FIR,0.0937,0.029,0.0863,0.3165,0.2302
4,Bratislava  FIR,0.0218,0.003,0.023,0.1193,0.0963
4,Bremen FIR,0.0308,0.0033,0.0209,0.1715,0.1505
4,Brest FIR,0.1366,0.0351,0.0748,0.3638,0.289
4,Brindisi FIR,0.0055,0.0017,0.0043,0.0432,0.0389
4,Brussels FIR,0.077,0.0197,0.054,0.2986,0.2446
4,Bucarest FIR,0.0152,0.0013,0.0196,0.0682,0.0485
4,Budapest FIR,0.0227,0.0035,0.0176,0.1064,0.0888
4,Canarias FIR,0.005,0.0008,0.006,0.0205,0.0146
4,Chisinau FIR,0.0218,0.0032,0.0333,0.0894,0.0561
4,Copenhagen FIR,0.0419,0.0063,0.0394,0.2111,0.1718
4,Helsinki FIR,0.07,0.0104,0.0152,0.2405,0.2253
4,Langen FIR,0.0276,0.0048,0.0316,0.2098,0.1783
4,Lisboa FIR,0.0632,0.0168,0.0493,0.1582,0.1089
4,Ljubljana FIR,0.0221,0.0033,0.0455,0.1577,0.1122
4,London FIR,0.0852,0.0181,0.0642,0.3039,0.2397
4,Madrid FIR,0.0746,0.0215,0.0669,0.2057,0.1387
4,Malta FIR,0.0,0.0,0.0005,0.0013,0.0009
4,Marseille FIR,0.0339,0.008,0.0674,0.1963,0.1289
4,Milano FIR,0.0156,0.002,0.0686,0.1804,0.1118
4,Munchen FIR,0.014,0.0013,0.0359,0.1643,0.1284
4,Paris FIR,0.0882,0.0195,0.0689,0.3685,0.2996
4,Polaris FIR,0.0616,0.0093,0.0167,0.2462,0.2295
4,Praha FIR,0.0221,0.0018,0.0263,0.1286,0.1023
4,Reims FIR,0.0424,0.0147,0.0543,0.2977,0.2435
4,Reykjavik FIR,0.0593,0.0143,0.0057,0.1436,0.1379
4,Riga FIR,0.0521,0.006,0.0203,0.1837,0.1633
4,Roma FIR,0.0051,0.0008,0.0079,0.0341,0.0262
4,Santa Maria FIR,0.0425,0.0114,0.0297,0.1338,0.1041
4,Sarajevo FIR,0.0197,0.0022,0.0145,0.1082,0.0937
4,Scottish FIR,0.0586,0.012,0.0423,0.2396,0.1973
4,Shannon FIR,0.0576,0.0111,0.0375,0.2514,0.214
4,Skopje FIR,0.0062,0.0004,0.0086,0.0413,0.0327
4,Sofia FIR,0.0064,0.0005,0.0079,0.0339,0.026
4,Sweden FIR,0.0594,0.0065,0.0183,0.2312,0.2128
