Hour,Region,FL270-290,FL300-320,FL330-350,FL360-380,FL390-410,FL420-440
01-01 00,Warszawa FIR,0.029969,0.456267,0.732254,0.407116,0.203551,0.0
01-01 00,Wien FIR,0.022591,0.186888,0.377087,0.296517,0.006094,0.0
01-01 00,Yerevan FIR,0.080992,0.222564,0.202102,0.0,0.0,0.0
01-01 00,Zagreb FIR,0.058123,0.420876,0.361789,0.024034,0.025146,0.0
01-01 01,Africa & Middle East,0.001312,0.010621,0.015518,0.034724,0.039475,0.031402
01-01 01,Amsterdam FIR,0.240368,0.0,0.0,0.0,0.0,0.0
01-01 01,Ankara FIR,0.032427,0.14226,0.056001,0.0,0.0,0.0
01-01 01,Arctic,0.155965,0.097378,0.051534,0.03724,0.017681,0.003717
01-01 01,Athinai FIR,0.018095,0.081838,0.156648,0.001568,0.0,0.0
01-01 01,Barcelona FIR,0.041876,0.374709,0.556356,0.145219,0.000781,0.0
01-01 01,Beograd FIR,0.001703,0.212718,0.157588,0.005109,0.0,0.0
01-01 01,Bodo Oceanic FIR,0.201397,0.197305,0.145955,0.129291,0.014514,0.0
01-01 01,Bordeaux FIR,0.271983,0.642979,0.405035,0.011134,0.0,0.0
01-01 01,Bratislava  FIR,0.032424,0.703563,0.87786,0.771192,0.289325,0.0
01-01 01,Bremen FIR,0.245149,0.013394,0.0,0.0,0.0,0.0
01-01 01,Brest FIR,0.134531,0.271718,0.104839,0.0,0.0,0.0
01-01 01,Brindisi FIR,0.074929,0.197994,0.180904,0.011078,0.0,0.0
01-01 01,Brussels FIR,0.018011,0.0,0.0,0.0,0.0,0.0
01-01 01,Bucarest FIR,0.0,0.009076,0.002056,0.0,0.0,0.0
01-01 01,Budapest FIR,0.053836,0.480394,0.379828,0.145542,0.025848,0.0
01-01 01,Canarias FIR,0.0,0.005171,0.071845,0.185937,0.039208,0.0
01-01 01,China,0.001613,0.001636,0.003079,0.000954,0.000401,0.0
01-01 01,Chisinau FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 01,Continental Europe,0.069826,0.184151,0.188149,0.055071,0.003891,0.0
01-01 01,Copenhagen FIR,0.130824,0.002009,0.0,0.0,0.0,0.0
01-01 01,Dnipro FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 01,East Asia,0.000428,0.00069,0.00232,0.000487,0.001789,0.001453
