week,region,FL270-290,FL300-320,FL330-350,FL360-380,FL390-410,FL420-440
2,Beograd FIR,0.0679,0.0328,0.0238,0.0232,0.0013,0.0
2,Bordeaux FIR,0.0104,0.0364,0.0503,0.0324,0.0087,0.0002
2,Bratislava  FIR,0.0129,0.0171,0.0035,0.0086,0.0042,0.0
2,Bremen FIR,0.01,0.0267,0.013,0.0022,0.0001,0.0
2,Brest FIR,0.0037,0.0349,0.0429,0.0169,0.0016,0.0
2,Brindisi FIR,0.0427,0.0316,0.0178,0.0067,0.001,0.0
2,Brussels FIR,0.0104,0.0284,0.0395,0.0403,0.0085,0.0
2,Bucarest FIR,0.0597,0.0405,0.0039,0.0006,0.0002,0.0
2,Budapest FIR,0.0234,0.0179,0.0061,0.0051,0.002,0.0
2,Canarias FIR,0.0,0.0025,0.0258,0.0842,0.0777,0.0332
2,Chisinau FIR,0.0667,0.0791,0.015,0.0,0.0,0.0
2,Copenhagen FIR,0.0099,0.0263,0.0281,0.0088,0.0015,0.0
2,Helsinki FIR,0.1282,0.1932,0.1563,0.0841,0.0131,0.0
2,Langen FIR,0.0208,0.0344,0.0544,0.0539,0.0133,0.0
2,Lisboa FIR,0.0013,0.0478,0.0995,0.0787,0.0587,0.0098
2,Ljubljana FIR,0.0284,0.0454,0.0217,0.0216,0.0049,0.0
2,London FIR,0.0036,0.0121,0.0234,0.0255,0.008,0.0
2,Madrid FIR,0.0045,0.0394,0.0634,0.0332,0.0184,0.0034
2,Malta FIR,0.0017,0.0084,0.0048,0.0,0.0,0.0
2,Marseille FIR,0.0411,0.0588,0.0466,0.0177,0.0035,0.0
2,Milano FIR,0.0659,0.0677,0.0271,0.0129,0.002,0.0
2,Munchen FIR,0.0234,0.0417,0.036,0.0192,0.0045,0.0
2,Paris FIR,0.0081,0.0068,0.0099,0.0154,0.0014,0.0
2,Polaris FIR,0.0567,0.0846,0.0806,0.0369,0.0096,0.0007
2,Praha FIR,0.0307,0.0621,0.0332,0.0169,0.0047,0.0
2,Reims FIR,0.0615,0.023,0.0042,0.0096,0.0003,0.0
2,Reykjavik FIR,0.0292,0.1077,0.1524,0.1394,0.067,0.0062
2,Riga FIR,0.0755,0.136,0.1053,0.0321,0.0027,0.0
2,Roma FIR,0.027,0.0392,0.0273,0.0086,0.0012,0.0
2,Santa Maria FIR,0.0034,0.0259,0.0545,0.0352,0.0165,0.0009
2,Sarajevo FIR,0.031,0.0241,0.0168,0.0328,0.0039,0.0
2,Scottish FIR,0.0115,0.0153,0.0312,0.0341,0.0176,0.0008
2,Shannon FIR,0.0006,0.0032,0.0047,0.0015,0.0,0.0
2,Skopje FIR,0.0315,0.0232,0.0217,0.0193,0.0019,0.0
2,Sofia FIR,0.0693,0.0294,0.0131,0.0046,0.0,0.0
2,Sweden FIR,0.0757,0.1251,0.0978,0.0353,0.0039,0.0
2,Switzerland FIR,0.0458,0.0354,0.001,0.0048,0.0005,0.0
2,Tallinn FIR,0.0793,0.16,0.136,0.0557,0.0125,0.0
2,Tirana FIR,0.0292,0.0242,0.0188,0.0154,0.0024,0.0
2,Vilnius FIR,0.0878,0.126,0.0851,0.0056,0.0,0.0
2,Warszawa FIR,0.0373,0.0513,0.0221,0.0018,0.0,0.0
2,Wien FIR,0.019,0.031,0.0258,0.0127,0.0035,0.0
2,Zagreb FIR,0.0432,0.0485,0.0232,0.0173,0.0033,0.0
3,Global,0.0125,0.0188,0.0221,0.0193,0.022,0.0252
3,Europe,0.0214,0.0618,0.0776,0.04,0.0138,0.0012
3,European Airspace,0.0402,0.0674,0.0711,0.0386,0.0126,0.0014
3,Africa Middle East,0.0004,0.0031,0.0055,0.0202,0.0261,0.0192
3,East Asia,0.006,0.0066,0.0021,0.0002,0.0027,0.0059
3,Southeast Asia,0.0,0.0,0.0,0.0178,0.1114,0.1906
3,India,0.0003,0.0014,0.0008,0.001,0.0045,0.0066
3,China,0.013,0.0156,0.0079,0.0006,0.0001,0.0003
3,Latin America,0.0009,0.0031,0.006,0.0072,0.0201,0.0225
3,USA,0.0052,0.0214,0.0491,0.043,0.0165,0.0003
3,North Atlantic,0.0336,0.0753,0.089,0.0397,0.0123,0.0006
3,North Pacific,0.021,0.0557,0.0614,0.0214,0.0028,0.0
3,Amsterdam FIR,0.0446,0.1208,0.1324,0.0419,0.0064,0.0
3,Athinai FIR,0.0044,0.0413,0.0531,0.0305,0.0099,0.0
3,Barcelona FIR,0.0021,0.019,0.0418,0.0376,0.0184,0.0025
