Hour,Big_hit_warming_pct,Other_warming_pct,Cooling_pct,Flights_pct
0,0.3650376886837321,0.12939137749505064,-0.010301553508046646,0.2657863239852727
1,0.2301958763728782,0.12334133010569724,-0.015522651634103072,0.2792329658948787
2,0.21106785241848383,0.15253796028227648,-0.04072733280244094,0.4787676851915225
3,0.21368445936826136,0.1860396079933155,-0.13168789609869164,0.7749703131763241
4,0.2956471379267505,0.3833279983717619,-0.43689073961911096,2.9205164962730614
5,0.4861747832616745,0.6797346583533432,-0.7436539802799261,5.041804937364869
6,0.605319325080196,0.7406772601950795,-0.8461316324734097,5.472312624742816
7,0.8519782222920002,0.793155989030679,-0.8766401957434451,5.69470663528579
8,1.2403720308721229,1.0400125597085261,-1.0643080433374499,6.154339749039943
9,2.2378401621727253,1.3518753690548695,-1.196739371375357,6.316358337408786
10,3.6550946890470226,1.5430067174382087,-1.0769589140633302,6.297882651424988
11,5.163536223957417,1.6380238791301842,-0.8545123760800589,6.206042087182379
12,6.081093188261577,1.6719462169094839,-0.582377036720003,5.949103653573626
13,6.393387256825435,1.802967432836908,-0.3756835331314595,6.058276939237718
14,6.893200281358726,2.067682190714078,-0.21597436553375204,6.040594605126586
15,7.211285984315957,2.195913079360108,-0.09445586863900327,6.01111956606073
16,7.997950421203903,2.4111807822406686,-0.030333615729618957,6.083368373041043
17,7.197935590843462,2.338115335026752,-0.019188903092145056,5.806300316493611
18,5.932236098024013,2.105890804194254,-0.015079873472471281,5.331970023132258
19,5.38007764200937,2.0496773856288435,-0.024899240386047915,5.201241770487068
20,4.849277599031728,1.612797177550825,-0.027833366058317877,4.130445335299412
21,3.414867852595102,0.9523824528941244,-0.029382496163964236,2.1329466796274366
22,2.1625267182113492,0.5206830723675935,-0.014158979528047202,0.9399337161233707
23,0.9301221655142917,0.24086857064924147,-0.007696491709807477,0.4119782148265094
