Date,Airport,Big Hits
2019-12-27 00:00:00,Brussels Airport,7
2019-12-27 00:00:00,Düsseldorf Airport,6
2019-12-26 00:00:00,London Heathrow Airport,137
2019-12-26 00:00:00,Charles de Gaulle International Airport,85
2019-12-26 00:00:00,Frankfurt am Main Airport,77
2019-12-26 00:00:00,Adolfo Suárez Madrid–Barajas Airport,73
2019-12-26 00:00:00,Amsterdam Airport Schiphol,67
2019-12-26 00:00:00,Munich Airport,30
2019-12-26 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,27
2019-12-26 00:00:00,London Gatwick Airport,36
2019-12-26 00:00:00,Paris-Orly Airport,26
2019-12-26 00:00:00,Zürich Airport,15
2019-12-26 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,30
2019-12-26 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),36
2019-12-26 00:00:00,Copenhagen Kastrup Airport,16
2019-12-26 00:00:00,Dublin Airport,24
2019-12-26 00:00:00,Helsinki Vantaa Airport,17
2019-12-26 00:00:00,Malpensa International Airport,8
2019-12-26 00:00:00,Vienna International Airport,17
2019-12-26 00:00:00,Brussels Airport,12
2019-12-26 00:00:00,Düsseldorf Airport,14
2019-12-26 00:00:00,Manchester Airport,17
2019-12-25 00:00:00,London Heathrow Airport,74
2019-12-25 00:00:00,Charles de Gaulle International Airport,69
2019-12-25 00:00:00,Adolfo Suárez Madrid–Barajas Airport,62
2019-12-25 00:00:00,Frankfurt am Main Airport,39
2019-12-25 00:00:00,Amsterdam Airport Schiphol,45
2019-12-25 00:00:00,Paris-Orly Airport,37
2019-12-25 00:00:00,Zürich Airport,20
2019-12-25 00:00:00,Malpensa International Airport,13
2019-12-25 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),49
2019-12-25 00:00:00,Munich Airport,13
2019-12-25 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,12
2019-12-25 00:00:00,Brussels Airport,14
2019-12-25 00:00:00,London Gatwick Airport,15
2019-12-25 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,21
2019-12-25 00:00:00,Vienna International Airport,7
2019-12-25 00:00:00,Düsseldorf Airport,7
2019-12-25 00:00:00,Copenhagen Kastrup Airport,6
2019-12-25 00:00:00,Helsinki Vantaa Airport,11
2019-12-25 00:00:00,Manchester Airport,2
2019-12-24 00:00:00,London Heathrow Airport,41
2019-12-24 00:00:00,Adolfo Suárez Madrid–Barajas Airport,43
2019-12-24 00:00:00,Charles de Gaulle International Airport,29
2019-12-24 00:00:00,Frankfurt am Main Airport,27
2019-12-24 00:00:00,Amsterdam Airport Schiphol,25
2019-12-24 00:00:00,Paris-Orly Airport,21
2019-12-24 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,16
2019-12-24 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),23
2019-12-24 00:00:00,Zürich Airport,8
2019-12-24 00:00:00,London Gatwick Airport,10
2019-12-24 00:00:00,Munich Airport,9
2019-12-24 00:00:00,Malpensa International Airport,8
2019-12-24 00:00:00,Helsinki Vantaa Airport,11
2019-12-24 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,8
2019-12-24 00:00:00,Copenhagen Kastrup Airport,3
2019-12-24 00:00:00,Düsseldorf Airport,6
2019-12-24 00:00:00,Vienna International Airport,6
2019-12-24 00:00:00,Brussels Airport,6
2019-12-24 00:00:00,Manchester Airport,3
2019-12-24 00:00:00,Dublin Airport,4
2019-12-23 00:00:00,Charles de Gaulle International Airport,50
2019-12-23 00:00:00,London Heathrow Airport,61
2019-12-23 00:00:00,Frankfurt am Main Airport,44
2019-12-23 00:00:00,Adolfo Suárez Madrid–Barajas Airport,43
2019-12-23 00:00:00,Amsterdam Airport Schiphol,26
2019-12-23 00:00:00,Munich Airport,22
2019-12-23 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),33
2019-12-23 00:00:00,Zürich Airport,15
2019-12-23 00:00:00,Helsinki Vantaa Airport,33
2019-12-23 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,16
2019-12-23 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,14
2019-12-23 00:00:00,London Gatwick Airport,15
2019-12-23 00:00:00,Malpensa International Airport,11
2019-12-23 00:00:00,Paris-Orly Airport,9
2019-12-23 00:00:00,Brussels Airport,5
2019-12-23 00:00:00,Vienna International Airport,11
2019-12-23 00:00:00,Copenhagen Kastrup Airport,10
2019-12-23 00:00:00,Dublin Airport,10
2019-12-23 00:00:00,Manchester Airport,3
2019-12-23 00:00:00,Düsseldorf Airport,7
2019-12-22 00:00:00,London Heathrow Airport,60
2019-12-22 00:00:00,Frankfurt am Main Airport,57
2019-12-22 00:00:00,Charles de Gaulle International Airport,45
2019-12-22 00:00:00,Amsterdam Airport Schiphol,37
2019-12-22 00:00:00,Adolfo Suárez Madrid–Barajas Airport,29
2019-12-22 00:00:00,Munich Airport,24
2019-12-22 00:00:00,Zürich Airport,14
2019-12-22 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,13
2019-12-22 00:00:00,Malpensa International Airport,13
2019-12-22 00:00:00,Copenhagen Kastrup Airport,14
2019-12-22 00:00:00,Helsinki Vantaa Airport,16
2019-12-22 00:00:00,London Gatwick Airport,7
2019-12-22 00:00:00,Vienna International Airport,12
2019-12-22 00:00:00,Brussels Airport,8
2019-12-22 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,7
2019-12-22 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),5
2019-12-22 00:00:00,Düsseldorf Airport,8
2019-12-22 00:00:00,Paris-Orly Airport,3
2019-12-22 00:00:00,Dublin Airport,4
2019-12-22 00:00:00,Manchester Airport,3
2019-12-21 00:00:00,London Heathrow Airport,75
2019-12-21 00:00:00,Frankfurt am Main Airport,72
2019-12-21 00:00:00,Charles de Gaulle International Airport,50
2019-12-21 00:00:00,Amsterdam Airport Schiphol,32
2019-12-21 00:00:00,Adolfo Suárez Madrid–Barajas Airport,28
2019-12-21 00:00:00,Zürich Airport,21
2019-12-21 00:00:00,Munich Airport,35
2019-12-21 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,26
2019-12-21 00:00:00,Brussels Airport,19
2019-12-21 00:00:00,London Gatwick Airport,13
2019-12-21 00:00:00,Helsinki Vantaa Airport,19
2019-12-21 00:00:00,Copenhagen Kastrup Airport,16
2019-12-21 00:00:00,Vienna International Airport,27
2019-12-21 00:00:00,Malpensa International Airport,14
2019-12-21 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),11
2019-12-21 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,11
2019-12-21 00:00:00,Manchester Airport,8
2019-12-21 00:00:00,Paris-Orly Airport,4
2019-12-21 00:00:00,Düsseldorf Airport,8
2019-12-21 00:00:00,Dublin Airport,7
2019-12-20 00:00:00,Frankfurt am Main Airport,120
2019-12-20 00:00:00,London Heathrow Airport,102
2019-12-20 00:00:00,Charles de Gaulle International Airport,76
2019-12-20 00:00:00,Adolfo Suárez Madrid–Barajas Airport,66
2019-12-20 00:00:00,Amsterdam Airport Schiphol,58
2019-12-20 00:00:00,Munich Airport,54
2019-12-20 00:00:00,Zürich Airport,28
2019-12-20 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,34
2019-12-20 00:00:00,Malpensa International Airport,38
2019-12-20 00:00:00,Copenhagen Kastrup Airport,28
2019-12-20 00:00:00,Helsinki Vantaa Airport,45
2019-12-20 00:00:00,London Gatwick Airport,24
2019-12-20 00:00:00,Paris-Orly Airport,16
2019-12-20 00:00:00,Brussels Airport,25
2019-12-20 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,29
2019-12-20 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),19
2019-12-20 00:00:00,Manchester Airport,20
2019-12-20 00:00:00,Vienna International Airport,18
2019-12-20 00:00:00,Düsseldorf Airport,20
2019-12-20 00:00:00,Dublin Airport,10
2019-12-19 00:00:00,London Heathrow Airport,158
2019-12-19 00:00:00,Frankfurt am Main Airport,147
2019-12-19 00:00:00,Charles de Gaulle International Airport,96
2019-12-19 00:00:00,Amsterdam Airport Schiphol,86
2019-12-19 00:00:00,Munich Airport,82
2019-12-19 00:00:00,Adolfo Suárez Madrid–Barajas Airport,40
2019-12-19 00:00:00,Zürich Airport,42
2019-12-19 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,50
2019-12-19 00:00:00,Malpensa International Airport,34
2019-12-19 00:00:00,London Gatwick Airport,36
2019-12-19 00:00:00,Vienna International Airport,77
2019-12-19 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),27
2019-12-19 00:00:00,Copenhagen Kastrup Airport,43
2019-12-19 00:00:00,Brussels Airport,31
2019-12-19 00:00:00,Manchester Airport,20
