name,entries,exits,mean_count,timestamp
BRINDISI FIR,60,43,18.76923076923077,adsb_2024_02_01_12_00_00_3600
BRUSSELS FIR,251,108,66.6923076923077,adsb_2024_02_01_12_00_00_3600
BUCURESTI FIR,177,76,82.76923076923077,adsb_2024_02_01_12_00_00_3600
BUDAPEST FIR,179,113,52.38461538461539,adsb_2024_02_01_12_00_00_3600
CANARIAS FIR,117,24,39.07692307692308,adsb_2024_02_01_12_00_00_3600
CHISINAU FIR,7,0,3.230769230769231,adsb_2024_02_01_12_00_00_3600
DNIPROPETROVSK FIR,0,0,,adsb_2024_02_01_12_00_00_3600
FINLAND FIR,41,12,15.461538461538462,adsb_2024_02_01_12_00_00_3600
FIR PRAHA,166,59,59.23076923076923,adsb_2024_02_01_12_00_00_3600
FIR SOFIA,169,87,59.84615384615385,adsb_2024_02_01_12_00_00_3600
ISTANBUL FIR,259,86,92.76923076923077,adsb_2024_02_01_12_00_00_3600
KOEBENHAVN FIR,154,54,53.46153846153846,adsb_2024_02_01_12_00_00_3600
KYIV FIR,0,0,,adsb_2024_02_01_12_00_00_3600
L'VIV FIR,0,0,,adsb_2024_02_01_12_00_00_3600
LANGEN FIR,476,197,171.6153846153846,adsb_2024_02_01_12_00_00_3600
LISBOA FIR,263,84,115.76923076923077,adsb_2024_02_01_12_00_00_3600
LJUBLJANA FIR,56,42,9.0,adsb_2024_02_01_12_00_00_3600
LONDON FIR,1308,186,604.1538461538462,adsb_2024_02_01_12_00_00_3600
MADRID FIR,470,147,211.07692307692307,adsb_2024_02_01_12_00_00_3600
MALTA FIR,30,15,14.615384615384615,adsb_2024_02_01_12_00_00_3600
MARSEILLE FIR,328,167,103.23076923076923,adsb_2024_02_01_12_00_00_3600
MILANO FIR,309,103,111.76923076923077,adsb_2024_02_01_12_00_00_3600
MUNICH FIR,319,181,79.0,adsb_2024_02_01_12_00_00_3600
NICOSIA FIR,66,43,21.846153846153847,adsb_2024_02_01_12_00_00_3600
NORWAY FIR,145,20,61.46153846153846,adsb_2024_02_01_12_00_00_3600
ODESA FIR,0,0,,adsb_2024_02_01_12_00_00_3600
PARIS FIR,329,157,122.23076923076923,adsb_2024_02_01_12_00_00_3600
REIMS FIR,110,74,25.76923076923077,adsb_2024_02_01_12_00_00_3600
RIGA FIR,24,18,5.538461538461538,adsb_2024_02_01_12_00_00_3600
ROMA FIR,191,71,78.38461538461539,adsb_2024_02_01_12_00_00_3600
SANTA MARIA OCEANIC FIR,10,3,2.0,adsb_2024_02_01_12_00_00_3600
SARAJEVO FIR,60,45,13.307692307692308,adsb_2024_02_01_12_00_00_3600
SCOTTISH FIR,170,43,69.0,adsb_2024_02_01_12_00_00_3600
SHANNON FIR,124,33,48.69230769230769,adsb_2024_02_01_12_00_00_3600
SHANWICK FIR,78,11,21.46153846153846,adsb_2024_02_01_12_00_00_3600
SIMFEROPOL' FIR,0,0,,adsb_2024_02_01_12_00_00_3600
SKOPJE FIR,24,19,3.9166666666666665,adsb_2024_02_01_12_00_00_3600
SWEDEN FIR,122,43,47.92307692307692,adsb_2024_02_01_12_00_00_3600
SWITZERLAND FIR,275,121,79.61538461538461,adsb_2024_02_01_12_00_00_3600
