,origin_airport,total_fuel_burn,total_contrail_energy_forcing,total_co2,total_co2_forcing_20,total_co2_forcing_100,gwp20,gwp100,contrail_co2_eq_20,contrail_co2_eq_100,contrail_impact_category,id,name,city,country,iata,lat,lon,altitude,tz_offset,dst,tz,type,source
546,LFOK,2726537.8122585802,1.802731784062639e+16,8637671.789235182,3320905590565847.5,1.2227602174468394e+16,2.2799424092549962,0.6192116316044819,0.009846697114751387,0.0026742734209381606,High contrail climate impact,1374.0,Châlons-Vatry Airport,Chalons,France,XCR,48.7733333333,4.206111111,587.0,1,E,Europe/Paris,airport,OurAirports
547,LFOP,95107.28901462267,1111198737567929.0,301299.89159832464,115840068812611.9,426524102740997.8,4.028860432856705,1.094201867559946,0.0006069476058422523,0.00016484145204124806,Very high contrail climate impact,1375.0,Rouen Airport,Rouen,France,URO,49.38420104980469,1.1748000383377075,512.0,1,E,Europe/Paris,airport,OurAirports
548,LFOT,2192988.9306654762,7173229044870807.0,6947388.932348229,2671046470418551.5,9834815455934416.0,1.1279310308568467,0.30633581406225724,0.003918087780113493,0.0010641170220990056,Low contrail climate impact,1376.0,Tours-Val-de-Loire Airport,Tours,France,TUF,47.4322013855,0.727605998516,357.0,1,E,Europe/Paris,airport,OurAirports
549,LFOU,30303.093941891682,-67834773444006.305,96000.20160791285,36908974315565.52,135899152291622.02,-0.771915377623143,-0.20964519914992177,-3.705201593803495e-05,-1.0062990692261765e-05,Low contrail climate impact,1377.0,Cholet Le Pontreau Airport,Cholet,France,CET,47.08209991455078,-0.8770639896392822,443.0,1,E,Europe/Paris,airport,OurAirports
550,LFOV,56857.60319155268,98146436072232.4,180124.8869108389,69252196487453.16,254987166983091.12,0.59523748330215,0.16166108921501574,5.360854218244606e-05,1.4559592706368873e-05,Low contrail climate impact,1378.0,Laval-Entrammes Airport,Laval,France,LVA,48.03139877319336,-0.7429860234260559,330.0,1,E,Europe/Paris,airport,OurAirports
551,LFOZ,2678.9720364032914,0.0,8486.983411325627,3262970780255.412,12014285718095.242,0.0,0.0,0.0,0.0,Low contrail climate impact,1379.0,Orléans-Saint-Denis-de-l'Hôtel Airport,Orleans,France,\N,47.8969,2.16333,396.0,1,E,Europe/Paris,airport,OurAirports
552,LFPB,2657287.9789885893,1.8155942879613784e+16,8418288.317435851,3236559737220955.0,1.191704003662946e+16,2.356049827149292,0.6398817144189552,0.00991695336759382,0.0026933543805169576,High contrail climate impact,1380.0,Paris-Le Bourget Airport,Paris,France,LBG,48.96939849853516,2.441390037536621,218.0,1,E,Europe/Paris,airport,OurAirports
553,LFPG,4764383441.569423,1.8356067145248512e+19,15093566742.891932,5.802988513700727e+18,2.1366652268019413e+19,1.3285478995524982,0.3608215318102808,10.026263196512259,2.723041936325489,Low contrail climate impact,1382.0,Charles de Gaulle International Airport,Paris,France,CDG,49.012798,2.55,392.0,1,E,Europe/Paris,airport,OurAirports
554,LFPN,74.14937854628333,0.0,234.9052312346256,90313468107.51009,332534945333.09155,0.0,0.0,0.0,0.0,Low contrail climate impact,1385.0,Toussus-le-Noble Airport,Toussous-le-noble,France,TNF,48.75189971923828,2.1061899662017822,538.0,1,E,Europe/Paris,airport,OurAirports
555,LFPO,911095967.2305473,3.197642205409138e+18,2886352024.186374,1.109709052085933e+18,4.085958016048624e+18,1.2102358935861315,0.3286890665535061,1.7465834105976679,0.4743561762873211,Low contrail climate impact,1386.0,Paris-Orly Airport,Paris,France,ORY,48.7233333,2.3794444,291.0,1,E,Europe/Paris,airport,OurAirports
