block_pct,tot_flight_pct,cum_heating_pct,region
0.4966320356205047,91.40197,0.19454638837646251,Africa_Middle_East
1.501312935266583,87.295074,0.539787929220799,Africa_Middle_East
2.500285420710127,85.52835,0.9220191889020358,Africa_Middle_East
3.4992579061536704,84.02106,1.3585616162372613,Africa_Middle_East
4.498230391597215,82.724686,1.8650353135925253,Africa_Middle_East
5.497202877040758,81.72287,2.415409859944417,Africa_Middle_East
6.501883776686836,80.831085,2.9548934795893174,Africa_Middle_East
7.50085626213038,79.93029,3.5455374471219305,Africa_Middle_East
8.499828747573924,79.27814,4.241236970712512,Africa_Middle_East
9.498801233017469,78.569,5.081500730345788,Africa_Middle_East
10.497773718461012,77.80246,5.841788683316733,Africa_Middle_East
11.502454618107091,77.15605,6.916546352989295,Africa_Middle_East
12.501427103550634,76.53991,7.755958005203436,Africa_Middle_East
13.500399588994178,76.037605,8.824895891379622,Africa_Middle_East
14.499372074437721,75.54573,9.526848542508828,Africa_Middle_East
15.498344559881264,75.06483,10.216707879517594,Africa_Middle_East
16.503025459527347,74.5797,11.08187997234469,Africa_Middle_East
17.50199794497089,74.04092,11.662841274352882,Africa_Middle_East
18.500970430414434,73.63014,12.469783921148307,Africa_Middle_East
19.499942915857975,73.17766,13.375617489735049,Africa_Middle_East
20.49891540130152,72.66179,14.179900940041248,Africa_Middle_East
21.497887886745062,72.19921,15.132267214011046,Africa_Middle_East
22.496860372188607,71.77701,15.943402112882637,Africa_Middle_East
23.501541271834686,71.32367,17.087943321267968,Africa_Middle_East
24.50051375727823,70.83462,18.052431167841547,Africa_Middle_East
25.499486242721773,70.4611,18.808281644088474,Africa_Middle_East
26.498458728165314,70.004715,19.878254694783845,Africa_Middle_East
27.497431213608863,69.578705,20.937334717528575,Africa_Middle_East
28.502112113254938,69.142746,21.983944858915613,Africa_Middle_East
29.501084598698483,68.736275,23.022044472135207,Africa_Middle_East
30.50005708414203,68.320625,23.83000943783959,Africa_Middle_East
31.49902956958557,67.92918,24.924998565319044,Africa_Middle_East
32.49800205502911,67.52943,25.957993144822805,Africa_Middle_East
33.502682954675194,67.11377,26.8057922483481,Africa_Middle_East
34.50165544011874,66.72563,27.639326965232,Africa_Middle_East
35.500627925562284,66.268875,28.5074497099583,Africa_Middle_East
36.49960041100583,65.88807,29.519934344128906,Africa_Middle_East
37.49857289644937,65.530594,30.690781093280304,Africa_Middle_East
38.50325379609545,65.112946,31.868252358600877,Africa_Middle_East
39.50222628153899,64.73698,32.99457851727654,Africa_Middle_East
40.50119876698253,64.34061,34.30537019127994,Africa_Middle_East
41.50017125242608,63.945633,35.55510467217348,Africa_Middle_East
42.49914373786962,63.556004,36.65580844678651,Africa_Middle_East
43.49811622331317,63.130287,37.92041280301983,Africa_Middle_East
44.497088708756706,62.72553,39.108924078613754,Africa_Middle_East
45.50176960840279,62.28019,40.15351858003342,Africa_Middle_East
46.500742093846334,61.864403,41.35950760423487,Africa_Middle_East
47.49971457928987,61.416225,42.577481839731846,Africa_Middle_East
48.49868706473342,60.981754,43.5906865388698,Africa_Middle_East
