,time,file,region_id,area_km2,pt in mask,vol_km3,width_km,length_km,thickness_m,std_thickness,mean_FL,mean_lat,mean_lon,mean_forcing,max_forcing,std_forcing
295837,2024-05-03 21:00:00,20240503T21.nc,31,638.7633,1,194.69505556640627,22.978148,27.79873,304.8,0.0,330.0,34.25,-48.000004,930835460.0,930835460.0,0.0
1065409,2024-11-12 07:00:00,20241112T07.nc,25,9111.339,15,8331.408260156253,131.10565,111.19492,914.4000000000004,248.86815786677104,330.0,38.182938,-63.133724,763426370.0,984821950.0,107010730.0
1010483,2024-11-03 22:00:00,20241103T22.nc,79,576.5304,1,175.72646455078126,20.739449,27.79873,304.8,0.0,330.0,41.75,-21.999996,640522300.0,640522300.0,0.0
593370,2024-08-18 11:00:00,20240818T11.nc,58,45263.66,88,82778.18169375,185.04655,222.38985,1828.8,520.5450989107478,365.0,48.2666,11.487238,960120060.0,1447589400.0,240901490.0
10062,2024-01-06 05:00:00,20240106T05.nc,62,22270.06,40,13575.828909374985,220.3187,166.79239,609.5999999999992,152.39999999999964,295.0,43.90427,-35.521862,627777660.0,944551040.0,101536680.0
840970,2024-10-05 08:00:00,20241005T08.nc,22,28301.234,44,25878.64871250001,254.52269,111.19492,914.4000000000004,248.86815786677104,370.0,33.658527,-76.72049,821920830.0,1391965600.0,223063300.0
27367,2024-01-13 18:00:00,20240113T18.nc,17,634.94366,1,193.5308289550781,22.840742,27.79873,304.8,0.0,290.0,34.75,-36.75,574158000.0,574158000.0,0.0
173160,2024-03-13 09:00:00,20240313T09.nc,83,517.0837,1,157.60710541992188,18.60098,27.79873,304.8,0.0,310.0,48.0,30.999996,592199100.0,592199100.0,0.0
77462,2024-02-04 13:00:00,20240204T13.nc,32,611.02075,1,186.2391251953125,21.980165,27.79873,304.8,0.0,350.0,37.75,-10.999999,627731100.0,627731100.0,0.0
452210,2024-06-23 12:00:00,20240623T12.nc,12,2972.8264,5,906.1174916015624,64.16547,83.396194,304.8,0.0,370.0,39.699493,-7.799601,569270700.0,647183940.0,42925436.0
161914,2024-03-09 06:00:00,20240309T06.nc,94,519.58453,1,158.36936586914064,18.690943,27.79873,304.8,0.0,340.0,47.75,-43.499996,521349800.0,521349800.0,0.0
626158,2024-08-31 15:00:00,20240831T15.nc,110,164132.67,370,150082.91516250005,942.0529,333.58478,914.4000000000004,248.86815786677104,330.0,54.94387,13.635161,1041626900.0,1890932900.0,357655300.0
362353,2024-05-24 08:00:00,20240524T08.nc,59,504.4328,1,153.75111752929686,18.145893,27.79873,304.8,0.0,320.0,49.25,23.75,518040500.0,518040500.0,0.0
677520,2024-09-12 10:00:00,20240912T10.nc,6,1331.6814,2,405.8964896484375,47.9044,27.79873,304.8,0.0,380.0,30.499998,-26.875,546086200.0,576686200.0,30600016.0
1341528,2024-12-25 04:00:00,20241225T04.nc,70,617.1612,1,188.11073188476564,22.201056,27.79873,304.8,0.0,300.0,37.0,25.5,582634240.0,582634240.0,0.0
803945,2024-09-29 11:00:00,20240929T11.nc,190,1445.2122,4,440.5006658203125,38.992065,55.59746,304.8,0.0,330.0,62.124485,37.00051,606362400.0,663228860.0,59137524.0
1353361,2024-12-27 04:00:00,20241227T04.nc,195,951.5288,2,290.025980859375,34.229214,27.79873,304.8,0.0,280.0,52.000004,-50.625,1045960700.0,1209889000.0,163928290.0
789840,2024-09-27 10:00:00,20240927T10.nc,87,576.5304,1,175.72646455078126,20.739449,27.79873,304.8,0.0,390.0,41.75,-41.249996,1430302000.0,1430302000.0,0.0
193318,2024-03-22 03:00:00,20240322T03.nc,63,1660.6089,3,506.153588671875,59.736862,27.79873,304.8,0.0,330.0,44.25,-37.75,1172445200.0,1187296800.0,10550138.0
1186581,2024-11-30 07:00:00,20241130T07.nc,364,1873.2301,5,570.9605352539063,67.38546,27.79873,304.8,0.0,330.0,61.0,15.999999,1560377000.0,1886153300.0,177486740.0
915789,2024-10-17 13:00:00,20241017T13.nc,219,254.77486,1,77.65537628173828,9.164982,27.79873,304.8,0.0,300.0,70.75,-54.249996,539257600.0,539257600.0,0.0
45380,2024-01-21 17:00:00,20240121T17.nc,28,606.86896,1,184.97365825195317,21.830814,27.79873,304.8,0.0,370.0,38.25,-22.749998,531363780.0,531363780.0,0.0
506653,2024-07-15 18:00:00,20240715T18.nc,137,908.445,2,276.8940382324219,32.67937,27.79873,304.8,0.0,320.0,54.0,-4.6249995,532671500.0,561318900.0,28647424.0
758444,2024-09-23 14:00:00,20240923T14.nc,47,649.92926,1,198.09843852539063,23.37982,27.79873,304.8,0.0,380.0,32.75,-10.75,552893700.0,552893700.0,0.0
947704,2024-10-22 12:00:00,20241022T12.nc,116,548.80963,1,167.27717563476563,19.742254,27.79873,304.8,0.0,340.0,44.75,-36.0,548113200.0,548113200.0,0.0
12476,2024-01-07 04:00:00,20240107T04.nc,23,337263.3,546,513989.2882500002,577.8874,472.57846,1524.000000000001,431.0522938113194,320.0,36.912987,-47.52583,831979200.0,1485346200.0,236578700.0
