Month,Big_hit_warming_pct,Other_warming_pct,Cooling_pct,Flights_pct
1,8.384932781891454,2.2912559451642425,-0.3713659671827236,6.805574063364073
2,8.701485679559708,2.0939759085523297,-1.1227954654228818,6.357478168368362
3,6.781149787222053,2.125711213027046,-0.7751167488998049,7.348428443896777
4,4.061647942771696,1.7103990400761084,-1.2220985123924353,8.066653928214565
5,4.238973563244943,2.296251004790132,-0.8129300658586712,8.553987124302505
6,2.9561196821881515,2.075135313899431,-0.6456943645698668,8.943011921389319
7,2.3752421289919114,1.9892608787012402,-0.3756130703364315,9.469999264468687
8,3.5204847434954334,2.515642486072044,-0.8415863809793341,9.528182884011553
9,5.81794225916091,2.847047064204005,-0.9002975404371498,10.073175280607884
10,9.292739494923662,3.1960599263988656,-0.8452419058388351,9.587146408785175
11,13.09272436590469,2.856586811800631,-0.3883129027278387,7.676499613207345
12,10.776466820293571,2.733903614845796,-0.43008553253403453,7.589862899383753
