date,fir_code,fir_name,big_hit_count
2019-01-03,LFBB,Bordeaux FIR,2
2019-01-03,LFEE,Reims FIR,0
2019-01-03,LFFF,Paris FIR,94
2019-01-03,LFMM,Marseille FIR,1
2019-01-03,LFRR,Brest FIR,2
2019-01-03,LGGG,Athinai FIR,1
2019-01-03,LHCC,Budapest FIR,1
2019-01-03,LIBB,Brindisi FIR,0
2019-01-03,LIMM,Milano FIR,8
2019-01-03,LIRR,Roma FIR,19
2019-01-03,LJLA,Ljubljana FIR,0
2019-01-03,LKAA,Praha FIR,2
2019-01-03,LMMM,Malta FIR,0
2019-01-03,LOVV,Wien FIR,3
2019-01-03,LPPC,Lisboa FIR,17
2019-01-03,LPPO,Santa Maria FIR,5
2019-01-03,LQSB,Sarajevo FIR,0
2019-01-03,LRBB,Bucarest FIR,0
2019-01-03,LSAS,Switzerland FIR,18
2019-01-03,LUUU,Chisinau FIR,0
2019-01-03,LWSS,Skopje FIR,0
2019-01-03,LYBA,Beograd FIR,2
2019-01-03,LZBB,Bratislava  FIR,0
2019-01-03,UKBV,Kiev FIR,0
2019-01-03,UKDV,Dnipro FIR,0
2019-01-03,UKLV,Lvov FIR,0
2019-01-03,UKOV,Odessa FIR,0
2019-01-03,ULLL,Sankt-Peterburg FIR,0
2019-01-03,UMMV,Minsk FIR,0
2019-01-03,UNNT,Novosibirsk FIR,1
2019-01-03,URRV,Rostov-Na-Donu FIR,0
2019-01-03,USSV,Yekaterinburg FIR,0
2019-01-03,UUWV,Moscow FIR,10
2019-01-03,UWWW,Samara FIR,0
2019-01-04,BIRD,Reykjavik FIR,16
2019-01-04,EBBU,Brussels FIR,34
2019-01-04,EDGG,Langen FIR,101
2019-01-04,EDMM,Munchen FIR,43
2019-01-04,EDWW,Bremen FIR,17
2019-01-04,EETT,Tallinn FIR,4
2019-01-04,EFIN,Helsinki FIR,21
2019-01-04,EGPX,Scottish FIR,26
2019-01-04,EGTT,London FIR,335
2019-01-04,EHAA,Amsterdam FIR,77
2019-01-04,EISN,Shannon FIR,44
2019-01-04,EKDK,Copenhagen FIR,28
2019-01-04,ENOB,Bodo Oceanic FIR,0
2019-01-04,ENOR,Polaris FIR,35
2019-01-04,EPWW,Warszawa FIR,25
2019-01-04,ESAA,Sweden FIR,37
2019-01-04,EVRR,Riga FIR,3
2019-01-04,EYVL,Vilnius FIR,6
2019-01-04,GCCC,Canarias FIR,83
2019-01-04,GMMM,Casablanca FIR,0
2019-01-04,LAAA,Tirana FIR,0
2019-01-04,LBSR,Sofia FIR,2
2019-01-04,LDZO,Zagreb FIR,1
2019-01-04,LECB,Barcelona FIR,34
2019-01-04,LECM,Madrid FIR,72
2019-01-04,LFBB,Bordeaux FIR,4
2019-01-04,LFEE,Reims FIR,6
2019-01-04,LFFF,Paris FIR,122
2019-01-04,LFMM,Marseille FIR,7
2019-01-04,LFRR,Brest FIR,1
2019-01-04,LGGG,Athinai FIR,9
2019-01-04,LHCC,Budapest FIR,6
2019-01-04,LIBB,Brindisi FIR,0
2019-01-04,LIMM,Milano FIR,26
2019-01-04,LIRR,Roma FIR,12
2019-01-04,LJLA,Ljubljana FIR,0
2019-01-04,LKAA,Praha FIR,4
2019-01-04,LMMM,Malta FIR,1
2019-01-04,LOVV,Wien FIR,7
2019-01-04,LPPC,Lisboa FIR,35
2019-01-04,LPPO,Santa Maria FIR,8
